"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"1","0.000000","10.100.102.220","157.240.195.56","TLSv1.2","129","1","Application Data"
"2","3.760443","157.240.195.56","10.100.102.220","TLSv1.2","150","1","Application Data"
"3","3.763785","10.100.102.220","157.240.195.56","TLSv1.2","148","76","Application Data"
"4","18.919129","157.240.195.56","10.100.102.220","TLSv1.2","556","97","Application Data"
"5","19.027569","10.100.102.220","157.240.195.56","TLSv1.2","145","170","Application Data"
"6","25.413543","10.100.102.220","157.240.195.56","TLSv1.2","123","261","Application Data"
"7","25.624837","157.240.195.56","10.100.102.220","TLSv1.2","125","599","Application Data"
"8","28.489762","157.240.195.56","10.100.102.220","TLSv1.2","185","670","Application Data"
"9","28.532864","10.100.102.220","157.240.195.56","TLSv1.2","149","330","Application Data"
"10","46.996662","10.100.102.220","157.240.195.56","TLSv1.2","123","425","Application Data"
"11","47.328677","157.240.195.56","10.100.102.220","TLSv1.2","125","801","Application Data"
"12","66.634337","157.240.195.56","10.100.102.220","TCP","1446","872","443  >  61098 [ACK] Seq=872 Ack=494 Win=379 Len=1392 [TCP segment of a reassembled PDU]"
"13","66.634337","157.240.195.56","10.100.102.220","TLSv1.2","175","2264","Application Data"
"14","66.634337","157.240.195.56","10.100.102.220","TLSv1.2","952","3777","[TCP Previous segment not captured] , Ignored Unknown Record"
"15","66.765341","10.100.102.220","157.240.195.56","TLSv1.2","145","494","[TCP ACKed unseen segment] , Application Data"
"16","75.567595","10.100.102.220","157.240.195.56","TLSv1.2","123","585","Application Data"
"17","75.897261","157.240.195.56","10.100.102.220","TLSv1.2","125","4675","Application Data"
"18","84.887090","10.100.102.220","157.240.195.56","TLSv1.2","113","654","Application Data"
"19","84.919055","10.100.102.220","157.240.195.56","TLSv1.2","157","713","Application Data"
"20","85.155860","157.240.195.56","10.100.102.220","TLSv1.2","144","4746","Application Data"
"21","108.464735","157.240.195.56","10.100.102.220","TCP","1446","4836","443  >  61098 [ACK] Seq=4836 Ack=816 Win=379 Len=1392 [TCP segment of a reassembled PDU]"
"22","108.464735","157.240.195.56","10.100.102.220","TLSv1.2","175","6228","Application Data"
"23","108.464735","157.240.195.56","10.100.102.220","TCP","1446","6349","443  >  61098 [ACK] Seq=6349 Ack=816 Win=379 Len=1392 [TCP segment of a reassembled PDU]"
"24","108.465081","157.240.195.56","10.100.102.220","TLSv1.2","1257","7741","Application Data"
"25","108.465081","157.240.195.56","10.100.102.220","TLSv1.2","411","10336","[TCP Previous segment not captured] , Ignored Unknown Record"
"26","108.627573","10.100.102.220","157.240.195.56","TLSv1.2","145","816","[TCP ACKed unseen segment] , Application Data"
"27","108.743876","10.100.102.220","157.240.195.56","TLSv1.2","157","907","Application Data"
"28","109.077669","157.240.195.56","10.100.102.220","TLSv1.2","144","10693","Application Data"
"29","132.968414","10.100.102.220","157.240.195.56","TLSv1.2","123","1010","Application Data"
"30","133.243907","157.240.195.56","10.100.102.220","TLSv1.2","125","10783","Application Data"
"31","163.144956","10.100.102.220","157.240.195.56","TLSv1.2","123","1079","Application Data"
"32","163.349896","157.240.195.56","10.100.102.220","TLSv1.2","125","10854","Application Data"
"33","174.919613","10.100.102.220","157.240.195.56","TLSv1.2","113","1148","Application Data"
"34","179.131099","10.100.102.220","157.240.195.56","TLSv1.2","123","1207","Application Data"
"35","179.362511","157.240.195.56","10.100.102.220","TLSv1.2","125","10925","Application Data"
"36","197.342800","10.100.102.220","157.240.195.56","TLSv1.2","123","1276","Application Data"
"37","197.555851","157.240.195.56","10.100.102.220","TLSv1.2","125","10996","Application Data"
"38","226.464581","10.100.102.220","157.240.195.56","TLSv1.2","123","1345","Application Data"
"39","226.685811","157.240.195.56","10.100.102.220","TLSv1.2","125","11067","Application Data"
"40","241.057262","157.240.195.56","10.100.102.220","TLSv1.2","142","11138","Application Data"
"41","241.075625","10.100.102.220","157.240.195.56","TLSv1.2","181","1414","Application Data"
"42","241.428351","157.240.195.56","10.100.102.220","TLSv1.2","318","11226","Application Data"
"43","241.436097","10.100.102.220","157.240.195.56","TLSv1.2","126","1541","Application Data"
"44","245.291202","157.240.195.56","10.100.102.220","TLSv1.2","142","11490","Application Data"
"45","245.293841","10.100.102.220","157.240.195.56","TLSv1.2","181","1613","Application Data"
"46","245.625864","157.240.195.56","10.100.102.220","TLSv1.2","317","11578","Application Data"
"47","245.644280","10.100.102.220","157.240.195.56","TLSv1.2","126","1740","Application Data"
"48","254.535432","157.240.195.56","10.100.102.220","TLSv1.2","142","11841","Application Data"
"49","254.540729","10.100.102.220","157.240.195.56","TLSv1.2","181","1812","Application Data"
"50","254.778866","157.240.195.56","10.100.102.220","TLSv1.2","317","11929","Application Data"
"51","254.803332","10.100.102.220","157.240.195.56","TLSv1.2","126","1939","Application Data"
"52","270.612137","157.240.195.56","10.100.102.220","TLSv1.2","172","12192","Application Data"
"53","270.617050","10.100.102.220","157.240.195.56","TLSv1.2","148","2011","Application Data"
"54","272.301301","157.240.195.56","10.100.102.220","TLSv1.2","1440","12310","Application Data"
"55","272.370298","10.100.102.220","157.240.195.56","TLSv1.2","147","2105","Application Data"
"56","276.231583","157.240.195.56","10.100.102.220","TLSv1.2","265","13696","Application Data"
"57","276.280680","10.100.102.220","157.240.195.56","TLSv1.2","129","2198","Application Data"
"58","280.676685","10.100.102.220","157.240.195.56","TCP","1446","2273","61098  >  443 [ACK] Seq=2273 Ack=13907 Win=515 Len=1392 [TCP segment of a reassembled PDU]"
"59","280.676685","10.100.102.220","157.240.195.56","TLSv1.2","63","3665","Application Data"
"60","280.907643","157.240.195.56","10.100.102.220","TLSv1.2","117","13907","Application Data"
"61","287.098311","157.240.195.56","10.100.102.220","TLSv1.2","1293","13970","Application Data"
"62","287.186271","10.100.102.220","157.240.195.56","TLSv1.2","128","3674","Application Data"
"63","287.202621","10.100.102.220","157.240.195.56","TLSv1.2","144","3748","Application Data"
"64","287.360816","157.240.195.56","10.100.102.220","TLSv1.2","1062","15209","Application Data"
"65","289.603730","157.240.195.56","10.100.102.220","TCP","1446","16217","443  >  61098 [ACK] Seq=16217 Ack=3838 Win=390 Len=1392 [TCP segment of a reassembled PDU]"
"66","289.603730","157.240.195.56","10.100.102.220","TLSv1.2","125","17609","Application Data"
"67","289.701486","10.100.102.220","157.240.195.56","TLSv1.2","147","3838","Application Data"
