"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"1","0.000000","157.240.195.56","10.100.102.220","TLSv1.2","532","1","Application Data"
"2","0.094138","10.100.102.220","157.240.195.56","TLSv1.2","139","1","Application Data"
"3","0.105475","10.100.102.220","157.240.195.56","TLSv1.2","147","86","Application Data"
"4","0.366799","157.240.195.56","10.100.102.220","TLSv1.2","127","479","Application Data"
"5","4.043768","157.240.195.56","10.100.102.220","TLSv1.2","337","552","Application Data"
"6","4.067292","10.100.102.220","157.240.195.56","TLSv1.2","148","179","Application Data"
"7","4.075089","10.100.102.220","157.240.195.56","TLSv1.2","129","273","Application Data"
"8","11.415725","157.240.195.56","10.100.102.220","TLSv1.2","863","835","Application Data"
"9","11.586513","10.100.102.220","157.240.195.56","TLSv1.2","145","348","Application Data"
"10","11.923938","157.240.195.56","10.100.102.220","TLSv1.2","185","1644","Application Data"
"11","11.928167","10.100.102.220","157.240.195.56","TLSv1.2","149","439","Application Data"
"12","19.425067","10.100.102.220","157.240.195.56","TLSv1.2","123","534","Application Data"
"13","19.601237","157.240.195.56","10.100.102.220","TLSv1.2","125","1775","Application Data"
"14","26.705422","157.240.195.56","10.100.102.220","TLSv1.2","500","1846","Application Data"
"15","26.789203","10.100.102.220","157.240.195.56","TLSv1.2","143","603","Application Data"
"16","28.354832","157.240.195.56","10.100.102.220","TCP","1446","2292","443  >  61454 [ACK] Seq=2292 Ack=692 Win=450 Len=1392 [TCP segment of a reassembled PDU]"
"17","28.354832","157.240.195.56","10.100.102.220","TLSv1.2","91","3684","Application Data"
"18","28.430010","10.100.102.220","157.240.195.56","TLSv1.2","147","692","Application Data"
"19","31.992202","157.240.195.56","10.100.102.220","TLSv1.2","337","3721","Application Data"
"20","32.048097","10.100.102.220","157.240.195.56","TLSv1.2","148","785","Application Data"
"21","32.055559","10.100.102.220","157.240.195.56","TLSv1.2","129","879","Application Data"
"22","33.531470","157.240.195.56","10.100.102.220","TCP","1446","4004","443  >  61454 [ACK] Seq=4004 Ack=954 Win=450 Len=1392 [TCP segment of a reassembled PDU]"
"23","33.531691","157.240.195.56","10.100.102.220","TLSv1.2","91","5396","Application Data"
"24","33.612772","10.100.102.220","157.240.195.56","TLSv1.2","147","954","Application Data"
"25","35.563455","157.240.195.56","10.100.102.220","TLSv1.2","337","5433","Application Data"
"26","35.586303","10.100.102.220","157.240.195.56","TLSv1.2","148","1047","Application Data"
"27","35.594661","10.100.102.220","157.240.195.56","TLSv1.2","129","1141","Application Data"
"28","35.905523","157.240.195.56","10.100.102.220","TCP","1446","5716","443  >  61454 [ACK] Seq=5716 Ack=1216 Win=450 Len=1392 [TCP segment of a reassembled PDU]"
"29","35.905523","157.240.195.56","10.100.102.220","TLSv1.2","1067","7108","Application Data, Application Data"
"30","36.012914","10.100.102.220","157.240.195.56","TLSv1.2","145","1216","Application Data"
"31","37.513799","10.100.102.220","157.240.195.56","TLSv1.2","123","1307","Application Data"
"32","37.728587","157.240.195.56","10.100.102.220","TLSv1.2","125","8121","Application Data"
"33","39.412007","157.240.195.56","10.100.102.220","TLSv1.2","388","8192","Application Data"
"34","39.464512","10.100.102.220","157.240.195.56","TLSv1.2","152","1376","Application Data"
"35","41.376171","157.240.195.56","10.100.102.220","TLSv1.2","181","8526","Application Data"
"36","41.378935","10.100.102.220","157.240.195.56","TLSv1.2","147","1474","Application Data"
"37","42.411446","157.240.195.56","10.100.102.220","TLSv1.2","304","8653","Application Data"
"38","42.472203","10.100.102.220","157.240.195.56","TLSv1.2","145","1567","Application Data"
"39","50.166660","157.240.195.56","10.100.102.220","TCP","1446","8903","443  >  61454 [ACK] Seq=8903 Ack=1658 Win=450 Len=1392 [TCP segment of a reassembled PDU]"
"40","50.166660","157.240.195.56","10.100.102.220","TLSv1.2","1281","10295","Application Data, Application Data"
"41","50.270117","10.100.102.220","157.240.195.56","TLSv1.2","147","1658","Application Data"
"42","51.342089","157.240.195.56","10.100.102.220","TLSv1.2","202","11522","Application Data"
"43","51.346264","10.100.102.220","157.240.195.56","TLSv1.2","149","1751","Application Data"
"44","54.279827","157.240.195.56","10.100.102.220","TLSv1.2","337","11670","Application Data"
"45","54.297271","10.100.102.220","157.240.195.56","TLSv1.2","148","1846","Application Data"
"46","54.303759","10.100.102.220","157.240.195.56","TLSv1.2","129","1940","Application Data"
"47","58.602321","157.240.195.56","10.100.102.220","TLSv1.2","620","11953","Application Data"
"48","58.675146","10.100.102.220","157.240.195.56","TLSv1.2","147","2015","Application Data"
"49","64.168600","10.100.102.220","157.240.195.56","TLSv1.2","123","2108","Application Data"
"50","64.363538","157.240.195.56","10.100.102.220","TLSv1.2","125","12519","Application Data"
"51","79.473392","157.240.195.56","10.100.102.220","TCP","1446","12590","443  >  61454 [ACK] Seq=12590 Ack=2177 Win=450 Len=1392 [TCP segment of a reassembled PDU]"
"52","79.473392","157.240.195.56","10.100.102.220","TLSv1.2","175","13982","Application Data"
"53","79.473392","157.240.195.56","10.100.102.220","TLSv1.2","1257","15495","[TCP Previous segment not captured] , Ignored Unknown Record"
"54","79.473753","157.240.195.56","10.100.102.220","TCP","1446","16698","443  >  61454 [ACK] Seq=16698 Ack=2177 Win=450 Len=1392 [TCP segment of a reassembled PDU]"
"55","79.473753","157.240.195.56","10.100.102.220","TCP","1446","18090","443  >  61454 [PSH, ACK] Seq=18090 Ack=2177 Win=450 Len=1392 [TCP segment of a reassembled PDU]"
"56","79.473753","157.240.195.56","10.100.102.220","TLSv1.2","1356","19482","Application Data"
"57","79.473753","157.240.195.56","10.100.102.220","TLSv1.2","1446","22176","[TCP Previous segment not captured] , Ignored Unknown Record"
"58","79.473753","157.240.195.56","10.100.102.220","TLSv1.2","1446","23568","Ignored Unknown Record"
"59","79.473753","157.240.195.56","10.100.102.220","TLSv1.2","1446","24960","Ignored Unknown Record"
"60","79.473753","157.240.195.56","10.100.102.220","TLSv1.2","1446","27744","[TCP Previous segment not captured] , Ignored Unknown Record"
"61","79.473753","157.240.195.56","10.100.102.220","TLSv1.2","1446","29136","Ignored Unknown Record"
"62","79.473753","157.240.195.56","10.100.102.220","TLSv1.2","1446","30528","Ignored Unknown Record"
"63","79.473753","157.240.195.56","10.100.102.220","TLSv1.2","1446","33312","[TCP Previous segment not captured] , Ignored Unknown Record"
"64","79.473753","157.240.195.56","10.100.102.220","TLSv1.2","1446","34704","Ignored Unknown Record"
"65","79.473753","157.240.195.56","10.100.102.220","TLSv1.2","1446","36096","Ignored Unknown Record"
"66","79.473753","157.240.195.56","10.100.102.220","TLSv1.2","1446","38880","[TCP Previous segment not captured] , Ignored Unknown Record"
"67","79.475086","157.240.195.56","10.100.102.220","TLSv1.2","86","40272","Ignored Unknown Record"
"68","79.581460","10.100.102.220","157.240.195.56","TLSv1.2","145","2177","[TCP ACKed unseen segment] , Application Data"
"69","80.041870","157.240.195.56","10.100.102.220","TLSv1.2","185","40304","Application Data"
"70","80.044805","10.100.102.220","157.240.195.56","TLSv1.2","149","2268","Application Data"
"71","88.209616","10.100.102.220","157.240.195.56","TLSv1.2","123","2363","Application Data"
"72","88.432761","157.240.195.56","10.100.102.220","TLSv1.2","125","40435","Application Data"
"73","108.990202","157.240.195.56","10.100.102.220","TLSv1.2","832","40506","Application Data"
"74","109.086902","10.100.102.220","157.240.195.56","TLSv1.2","150","2432","Application Data"
"75","112.116005","10.100.102.220","157.240.195.56","TLSv1.2","123","2528","Application Data"
"76","112.311274","157.240.195.56","10.100.102.220","TLSv1.2","125","41284","Application Data"
"77","114.667808","157.240.195.56","10.100.102.220","TCP","1446","41355","443  >  61454 [ACK] Seq=41355 Ack=2597 Win=450 Len=1392 [TCP segment of a reassembled PDU]"
"78","114.667808","157.240.195.56","10.100.102.220","TLSv1.2","175","42747","Application Data"
"79","114.667808","157.240.195.56","10.100.102.220","TLSv1.2","1257","44260","[TCP Previous segment not captured] , Ignored Unknown Record"
"80","114.667808","157.240.195.56","10.100.102.220","TLSv1.2","1446","46855","[TCP Previous segment not captured] , Ignored Unknown Record"
"81","114.667808","157.240.195.56","10.100.102.220","TLSv1.2","1356","48247","Ignored Unknown Record"
"82","114.667808","157.240.195.56","10.100.102.220","TCP","1446","49549","443  >  61454 [ACK] Seq=49549 Ack=2597 Win=450 Len=1392 [TCP segment of a reassembled PDU]"
"83","114.667808","157.240.195.56","10.100.102.220","TCP","1446","50941","443  >  61454 [PSH, ACK] Seq=50941 Ack=2597 Win=450 Len=1392 [TCP segment of a reassembled PDU]"
"84","114.667808","157.240.195.56","10.100.102.220","TLSv1.2","1446","52333","Application Data"
"85","114.667808","157.240.195.56","10.100.102.220","TCP","1446","56509","[TCP Previous segment not captured] 443  >  61454 [PSH, ACK] Seq=56509 Ack=2597 Win=450 Len=1392 [TCP segment of a reassembled PDU]"
"86","114.667808","157.240.195.56","10.100.102.220","TLSv1.2","1446","57901","Application Data"
"87","114.667808","157.240.195.56","10.100.102.220","TLSv1.2","1446","62077","[TCP Previous segment not captured] , Ignored Unknown Record"
"88","114.667808","157.240.195.56","10.100.102.220","TLSv1.2","1446","63469","Ignored Unknown Record"
"89","114.667808","157.240.195.56","10.100.102.220","TLSv1.2","1446","64861","Ignored Unknown Record"
"90","114.667808","157.240.195.56","10.100.102.220","TLSv1.2","1446","66253","Ignored Unknown Record"
"91","114.667808","157.240.195.56","10.100.102.220","TLSv1.2","1446","67645","Ignored Unknown Record"
"92","114.774421","10.100.102.220","157.240.195.56","TLSv1.2","147","2597","[TCP ACKed unseen segment] , Application Data"
"93","118.300665","157.240.195.56","10.100.102.220","TLSv1.2","264","69055","[TCP Previous segment not captured] , Application Data"
"94","118.360402","10.100.102.220","157.240.195.56","TLSv1.2","128","2690","[TCP ACKed unseen segment] , Application Data"
"95","127.706738","157.240.195.56","10.100.102.220","TLSv1.2","296","69265","Application Data"
"96","127.806303","10.100.102.220","157.240.195.56","TLSv1.2","147","2764","Application Data"
"97","129.946880","157.240.195.56","10.100.102.220","TLSv1.2","296","69507","Application Data"
"98","130.007979","10.100.102.220","157.240.195.56","TLSv1.2","147","2857","Application Data"
"99","131.062068","157.240.195.56","10.100.102.220","TLSv1.2","428","69749","Application Data"
"100","131.086419","10.100.102.220","157.240.195.56","TLSv1.2","129","2950","Application Data"
"101","131.105138","10.100.102.220","157.240.195.56","TLSv1.2","129","3025","Application Data"
"102","134.334991","157.240.195.56","10.100.102.220","TLSv1.2","147","70123","Application Data"
"103","134.337669","10.100.102.220","157.240.195.56","TLSv1.2","146","3100","Application Data"
"104","137.816404","10.100.102.220","157.240.195.56","TLSv1.2","123","3192","Application Data"
"105","137.989812","157.240.195.56","10.100.102.220","TLSv1.2","125","70216","Application Data"
"106","166.085081","10.100.102.220","157.240.195.56","TLSv1.2","123","3261","Application Data"
"107","166.291652","157.240.195.56","10.100.102.220","TLSv1.2","125","70287","Application Data"
"108","189.165423","10.100.102.220","157.240.195.56","TLSv1.2","123","3330","Application Data"
"109","189.335896","157.240.195.56","10.100.102.220","TLSv1.2","125","70358","Application Data"
"110","199.719844","157.240.195.56","10.100.102.220","TLSv1.2","243","70429","Application Data"
"111","199.751955","10.100.102.220","157.240.195.56","TLSv1.2","126","3399","Application Data"
"112","215.646898","10.100.102.220","157.240.195.56","TLSv1.2","123","3471","Application Data"
"113","215.848661","157.240.195.56","10.100.102.220","TLSv1.2","125","70618","Application Data"
"114","219.881597","157.240.195.56","10.100.102.220","TLSv1.2","328","70689","Application Data"
"115","220.016978","10.100.102.220","157.240.195.56","TLSv1.2","147","3540","Application Data"
"116","224.042507","157.240.195.56","10.100.102.220","TLSv1.2","265","70963","Application Data"
"117","224.099309","10.100.102.220","157.240.195.56","TLSv1.2","129","3633","Application Data"
"118","237.795048","10.100.102.220","157.240.195.56","TLSv1.2","123","3708","Application Data"
"119","238.070027","157.240.195.56","10.100.102.220","TLSv1.2","125","71174","Application Data"
"120","246.209373","157.240.195.56","10.100.102.220","TLSv1.2","174","71245","Application Data"
"121","246.250078","10.100.102.220","157.240.195.56","TLSv1.2","149","3777","Application Data"
"122","249.486252","157.240.195.56","10.100.102.220","TLSv1.2","149","71365","Application Data"
"123","249.488840","10.100.102.220","157.240.195.56","TLSv1.2","147","3872","Application Data"
"124","251.754005","157.240.195.56","10.100.102.220","TLSv1.2","296","71460","Application Data"
"125","251.819451","10.100.102.220","157.240.195.56","TLSv1.2","147","3965","Application Data"
"126","253.022554","157.240.195.56","10.100.102.220","TLSv1.2","220","71702","Application Data"
"127","253.035705","10.100.102.220","157.240.195.56","TLSv1.2","129","4058","Application Data"
"128","253.149694","157.240.195.56","10.100.102.220","TLSv1.2","296","71868","Application Data"
"129","253.209351","10.100.102.220","157.240.195.56","TLSv1.2","147","4133","Application Data"
"130","254.798656","157.240.195.56","10.100.102.220","TLSv1.2","296","72110","Application Data"
"131","254.860401","10.100.102.220","157.240.195.56","TLSv1.2","147","4226","Application Data"
"132","256.174418","157.240.195.56","10.100.102.220","TLSv1.2","568","72352","Application Data"
"133","256.205537","10.100.102.220","157.240.195.56","TLSv1.2","129","4319","Application Data"
"134","256.210954","10.100.102.220","157.240.195.56","TLSv1.2","129","4394","Application Data"
"135","256.247899","10.100.102.220","157.240.195.56","TLSv1.2","129","4469","Application Data"
"136","256.730091","157.240.195.56","10.100.102.220","TLSv1.2","296","72866","Application Data"
"137","256.792995","10.100.102.220","157.240.195.56","TLSv1.2","147","4544","Application Data"
"138","258.533178","157.240.195.56","10.100.102.220","TLSv1.2","296","73108","Application Data"
"139","258.594261","10.100.102.220","157.240.195.56","TLSv1.2","147","4637","Application Data"
"140","259.348654","157.240.195.56","10.100.102.220","TLSv1.2","428","73350","Application Data"
"141","259.369389","10.100.102.220","157.240.195.56","TLSv1.2","129","4730","Application Data"
"142","259.386945","10.100.102.220","157.240.195.56","TLSv1.2","129","4805","Application Data"
"143","261.521018","157.240.195.56","10.100.102.220","TLSv1.2","328","73724","Application Data"
"144","261.579716","10.100.102.220","157.240.195.56","TLSv1.2","147","4880","Application Data"
"145","262.515713","10.100.102.220","157.240.195.56","TLSv1.2","123","4973","Application Data"
"146","262.521157","157.240.195.56","10.100.102.220","TLSv1.2","312","73998","Application Data"
"147","262.525614","10.100.102.220","157.240.195.56","TLSv1.2","146","5042","Application Data"
"148","262.549272","10.100.102.220","157.240.195.56","TLSv1.2","129","5134","Application Data"
"149","262.725290","157.240.195.56","10.100.102.220","TLSv1.2","125","74256","Application Data"
"150","266.224751","157.240.195.56","10.100.102.220","TLSv1.2","147","74327","Application Data"
"151","266.227419","10.100.102.220","157.240.195.56","TLSv1.2","146","5209","Application Data"
"152","272.014240","157.240.195.56","10.100.102.220","TCP","1446","74420","443  >  61454 [ACK] Seq=74420 Ack=5301 Win=450 Len=1392 [TCP segment of a reassembled PDU]"
"153","272.014240","157.240.195.56","10.100.102.220","TLSv1.2","164","75812","Application Data"
"154","272.112980","10.100.102.220","157.240.195.56","TLSv1.2","150","5301","Application Data"
"155","282.139389","10.100.102.220","157.240.195.56","TCP","1446","5397","61454  >  443 [ACK] Seq=5397 Ack=75922 Win=516 Len=1392 [TCP segment of a reassembled PDU]"
"156","282.139389","10.100.102.220","157.240.195.56","TLSv1.2","1081","6789","Application Data"
"157","282.363351","157.240.195.56","10.100.102.220","TLSv1.2","117","75922","Application Data"
"158","301.914243","157.240.195.56","10.100.102.220","TLSv1.2","303","75985","Application Data"
"159","301.919156","10.100.102.220","157.240.195.56","TLSv1.2","148","7816","Application Data"
"160","302.055504","157.240.195.56","10.100.102.220","TLSv1.2","312","76234","Application Data"
"161","302.115518","10.100.102.220","157.240.195.56","TLSv1.2","147","7910","Application Data"
"162","302.874275","10.100.102.220","157.240.195.56","TLSv1.2","123","8003","Application Data"
"163","303.142850","157.240.195.56","10.100.102.220","TLSv1.2","125","76492","Application Data"
"164","306.010725","157.240.195.56","10.100.102.220","TLSv1.2","337","76563","Application Data"
"165","306.061244","10.100.102.220","157.240.195.56","TLSv1.2","148","8072","Application Data"
"166","306.069343","10.100.102.220","157.240.195.56","TLSv1.2","129","8166","Application Data"
"167","309.798340","157.240.195.56","10.100.102.220","TLSv1.2","312","76846","Application Data"
"168","309.854563","10.100.102.220","157.240.195.56","TLSv1.2","147","8241","Application Data"
"169","312.104881","157.240.195.56","10.100.102.220","TLSv1.2","312","77104","Application Data"
"170","312.194658","10.100.102.220","157.240.195.56","TLSv1.2","147","8334","Application Data"
"171","313.146268","157.240.195.56","10.100.102.220","TLSv1.2","572","77362","Application Data"
"172","313.160632","10.100.102.220","157.240.195.56","TLSv1.2","148","8427","Application Data"
"173","313.160995","10.100.102.220","157.240.195.56","TLSv1.2","148","8521","Application Data"
"174","313.168050","10.100.102.220","157.240.195.56","TLSv1.2","129","8615","Application Data"
"175","313.194207","10.100.102.220","157.240.195.56","TLSv1.2","129","8690","Application Data"
"176","313.584141","157.240.195.56","10.100.102.220","TLSv1.2","296","77880","Application Data"
"177","313.639309","10.100.102.220","157.240.195.56","TLSv1.2","147","8765","Application Data"
"178","316.811078","157.240.195.56","10.100.102.220","TLSv1.2","334","78122","Application Data"
"179","316.815949","10.100.102.220","157.240.195.56","TLSv1.2","146","8858","Application Data"
"180","316.866710","10.100.102.220","157.240.195.56","TLSv1.2","129","8950","Application Data"
"181","322.679417","10.100.102.220","157.240.195.56","TLSv1.2","123","9025","Application Data"
"182","322.945712","157.240.195.56","10.100.102.220","TLSv1.2","125","78402","Application Data"
"183","327.707098","157.240.195.56","10.100.102.220","TLSv1.2","148","78473","Application Data"
"184","327.709684","10.100.102.220","157.240.195.56","TLSv1.2","146","9094","Application Data"
"185","337.376905","157.240.195.56","10.100.102.220","TLSv1.2","296","78567","Application Data"
"186","337.475884","10.100.102.220","157.240.195.56","TLSv1.2","147","9186","Application Data"
"187","340.007244","157.240.195.56","10.100.102.220","TLSv1.2","312","78809","Application Data"
"188","340.134805","10.100.102.220","157.240.195.56","TLSv1.2","147","9279","Application Data"
"189","340.713114","157.240.195.56","10.100.102.220","TLSv1.2","428","79067","Application Data"
"190","340.740055","10.100.102.220","157.240.195.56","TLSv1.2","129","9372","Application Data"
"191","340.759502","10.100.102.220","157.240.195.56","TLSv1.2","129","9447","Application Data"
"192","341.489467","157.240.195.56","10.100.102.220","TLSv1.2","319","79441","Application Data"
"193","341.579828","10.100.102.220","157.240.195.56","TLSv1.2","129","9522","Application Data"
"194","341.674726","10.100.102.220","157.240.195.56","TLSv1.2","143","9597","Application Data"
"195","341.675025","10.100.102.220","157.240.195.56","TLSv1.2","143","9686","Application Data"
"196","341.951327","157.240.195.56","10.100.102.220","TLSv1.2","498","79706","Application Data"
"197","341.951327","157.240.195.56","10.100.102.220","TLSv1.2","536","80150","Application Data"
"198","342.058074","10.100.102.220","157.240.195.56","TLSv1.3","571","1","Client Hello"
"199","342.165410","157.240.195.56","10.100.102.220","TLSv1.3","266","1","Server Hello, Change Cipher Spec, Application Data"
"200","342.168578","10.100.102.220","157.240.195.56","TLSv1.3","118","518","Change Cipher Spec, Application Data"
