"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"1","0.000000","157.240.195.56","10.100.102.220","TLSv1.2","150","1","Application Data"
"2","0.003536","10.100.102.220","157.240.195.56","TLSv1.2","148","1","Application Data"
"3","4.264006","10.100.102.220","157.240.195.56","TLSv1.2","702","95","Application Data"
"4","4.493442","157.240.195.56","10.100.102.220","TLSv1.2","117","97","Application Data"
"5","31.270623","10.100.102.220","157.240.195.56","TLSv1.2","123","743","Application Data"
"6","31.538791","157.240.195.56","10.100.102.220","TLSv1.2","125","160","Application Data"
"7","38.421339","157.240.195.56","10.100.102.220","TCP","1446","231","443  >  61098 [ACK] Seq=231 Ack=812 Win=439 Len=1392 [TCP segment of a reassembled PDU]"
"8","38.421339","157.240.195.56","10.100.102.220","TLSv1.2","419","1623","Application Data, Application Data"
"9","38.421339","157.240.195.56","10.100.102.220","TLSv1.2","899","3380","[TCP Previous segment not captured] , Ignored Unknown Record"
"10","38.517533","157.240.195.56","10.100.102.220","TCP","1446","4225","443  >  61098 [ACK] Seq=4225 Ack=812 Win=439 Len=1392 [TCP segment of a reassembled PDU]"
"11","38.517533","157.240.195.56","10.100.102.220","TLSv1.2","403","5617","Application Data, Application Data"
"12","38.521853","10.100.102.220","157.240.195.56","TLSv1.2","147","812","[TCP ACKed unseen segment] , Application Data"
"13","38.590946","10.100.102.220","157.240.195.56","TLSv1.2","147","905","Application Data"
"14","38.642457","10.100.102.220","157.240.195.56","TLSv1.2","147","998","Application Data"
"15","39.951136","157.240.195.56","10.100.102.220","TLSv1.2","187","5966","Application Data"
"16","39.954710","10.100.102.220","157.240.195.56","TLSv1.2","146","1091","Application Data"
"17","42.021774","157.240.195.56","10.100.102.220","TLSv1.2","566","6099","Application Data"
"18","42.044814","10.100.102.220","157.240.195.56","TLSv1.2","129","1183","Application Data"
"19","51.608739","157.240.195.56","10.100.102.220","TCP","1446","6611","443  >  61098 [ACK] Seq=6611 Ack=1258 Win=439 Len=1392 [TCP segment of a reassembled PDU]"
"20","51.608739","157.240.195.56","10.100.102.220","TLSv1.2","625","8003","Application Data, Application Data"
"21","51.718521","10.100.102.220","157.240.195.56","TLSv1.2","150","1258","Application Data"
"22","55.257277","10.100.102.220","157.240.195.56","TLSv1.2","123","1354","Application Data"
"23","55.510000","157.240.195.56","10.100.102.220","TLSv1.2","125","8574","Application Data"
"24","60.671539","157.240.195.56","10.100.102.220","TLSv1.2","360","8645","Application Data"
"25","60.756643","10.100.102.220","157.240.195.56","TLSv1.2","150","1423","Application Data"
"26","66.354808","157.240.195.56","10.100.102.220","TLSv1.2","328","8951","Application Data"
"27","66.432797","10.100.102.220","157.240.195.56","TLSv1.2","150","1519","Application Data"
"28","76.491987","157.240.195.56","10.100.102.220","TLSv1.2","663","9225","Application Data"
"29","76.552346","10.100.102.220","157.240.195.56","TLSv1.2","144","1615","Application Data"
"30","84.257588","10.100.102.220","157.240.195.56","TLSv1.2","123","1705","Application Data"
"31","84.459151","157.240.195.56","10.100.102.220","TLSv1.2","125","9834","Application Data"
"32","92.629697","157.240.195.56","10.100.102.220","TLSv1.2","329","9905","Application Data"
"33","92.723093","10.100.102.220","157.240.195.56","TLSv1.2","144","1774","Application Data"
"34","110.259546","10.100.102.220","157.240.195.56","TLSv1.2","123","1864","Application Data"
"35","110.488739","157.240.195.56","10.100.102.220","TLSv1.2","125","10180","Application Data"
"36","112.395004","157.240.195.56","10.100.102.220","TCP","1446","10251","443  >  61098 [ACK] Seq=10251 Ack=1933 Win=439 Len=1392 [TCP segment of a reassembled PDU]"
"37","112.440492","157.240.195.56","10.100.102.220","TLSv1.2","467","11643","Application Data, Application Data"
"38","112.531633","10.100.102.220","157.240.195.56","TLSv1.2","150","1933","Application Data"
"39","113.676734","157.240.195.56","10.100.102.220","TLSv1.2","206","12056","Application Data"
"40","113.680685","10.100.102.220","157.240.195.56","TLSv1.2","148","2029","Application Data"
"41","113.686966","10.100.102.220","157.240.195.56","TLSv1.2","129","2123","Application Data"
"42","113.687495","10.100.102.220","157.240.195.56","TLSv1.2","129","2198","Application Data"
"43","116.747318","157.240.195.56","10.100.102.220","TCP","1446","12208","443  >  61098 [ACK] Seq=12208 Ack=2273 Win=439 Len=1392 [TCP segment of a reassembled PDU]"
"44","116.747318","157.240.195.56","10.100.102.220","TLSv1.2","585","13600","Application Data, Application Data"
"45","116.838440","10.100.102.220","157.240.195.56","TLSv1.2","144","2273","Application Data"
"46","117.160939","157.240.195.56","10.100.102.220","TLSv1.2","362","14131","Application Data"
"47","117.249823","10.100.102.220","157.240.195.56","TLSv1.2","150","2363","Application Data"
"48","119.456440","157.240.195.56","10.100.102.220","TLSv1.2","682","14439","Application Data"
"49","119.521933","10.100.102.220","157.240.195.56","TLSv1.2","143","2459","Application Data"
"50","130.003530","157.240.195.56","10.100.102.220","TLSv1.2","409","15067","Application Data"
"51","130.096193","10.100.102.220","157.240.195.56","TLSv1.2","150","2548","Application Data"
"52","133.986646","157.240.195.56","10.100.102.220","TLSv1.2","347","15422","Application Data"
"53","134.038027","10.100.102.220","157.240.195.56","TLSv1.2","143","2644","Application Data"
"54","137.724799","10.100.102.220","157.240.195.56","TLSv1.2","123","2733","Application Data"
"55","137.907186","157.240.195.56","10.100.102.220","TLSv1.2","125","15715","Application Data"
"56","143.525811","157.240.195.56","10.100.102.220","TLSv1.2","183","15786","Application Data"
"57","143.562620","10.100.102.220","157.240.195.56","TLSv1.2","148","2802","Application Data"
"58","148.139568","10.100.102.220","157.240.195.56","TLSv1.2","113","2896","Application Data"
"59","152.570932","157.240.195.56","10.100.102.220","TLSv1.2","131","15915","Application Data"
"60","154.011926","157.240.195.56","10.100.102.220","TLSv1.2","131","15992","Application Data"
"61","155.134305","157.240.195.56","10.100.102.220","TLSv1.2","442","16069","Application Data"
"62","155.187291","10.100.102.220","157.240.195.56","TLSv1.2","144","2955","Application Data"
"63","165.684085","10.100.102.220","157.240.195.56","TLSv1.2","123","3045","Application Data"
"64","165.933634","157.240.195.56","10.100.102.220","TLSv1.2","125","16457","Application Data"
"65","167.821414","10.100.102.220","157.240.195.56","TLSv1.2","113","3114","Application Data"
"66","168.868253","157.240.195.56","10.100.102.220","TLSv1.2","617","17920","[TCP Previous segment not captured] , Ignored Unknown Record"
"67","168.980458","10.100.102.220","157.240.195.56","TLSv1.2","144","3173","[TCP ACKed unseen segment] , Application Data"
"68","178.522452","10.100.102.220","157.240.195.56","TLSv1.2","113","3263","Application Data"
"69","183.227960","10.100.102.220","157.240.195.56","TLSv1.2","123","3322","Application Data"
"70","183.447599","157.240.195.56","10.100.102.220","TLSv1.2","125","18483","Application Data"
"71","191.636716","157.240.195.56","10.100.102.220","TLSv1.2","131","18554","Application Data"
"72","197.209730","10.100.102.220","157.240.195.56","TLSv1.2","113","3391","Application Data"
"73","198.279625","10.100.102.220","157.240.195.56","TLSv1.2","113","3450","Application Data"
"74","199.728926","157.240.195.56","10.100.102.220","TLSv1.2","141","18631","Application Data"
"75","199.734744","10.100.102.220","157.240.195.56","TLSv1.2","181","3509","Application Data"
"76","199.997485","157.240.195.56","10.100.102.220","TLSv1.2","317","18718","Application Data"
"77","200.036327","10.100.102.220","157.240.195.56","TLSv1.2","125","3636","Application Data"
"78","201.627238","157.240.195.56","10.100.102.220","TLSv1.2","457","18981","Application Data"
"79","201.665967","10.100.102.220","157.240.195.56","TLSv1.2","150","3707","Application Data"
"80","212.906595","157.240.195.56","10.100.102.220","TLSv1.2","142","19384","Application Data"
"81","212.912892","10.100.102.220","157.240.195.56","TLSv1.2","181","3803","Application Data"
"82","213.471821","157.240.195.56","10.100.102.220","TLSv1.2","198","19472","Application Data"
"83","213.508348","10.100.102.220","157.240.195.56","TLSv1.2","126","3930","Application Data"
"84","214.883607","157.240.195.56","10.100.102.220","TLSv1.2","131","19616","Application Data"
"85","217.765666","157.240.195.56","10.100.102.220","TLSv1.2","131","19693","Application Data"
"86","219.193535","157.240.195.56","10.100.102.220","TLSv1.2","441","19770","Application Data"
"87","219.290402","10.100.102.220","157.240.195.56","TLSv1.2","150","4002","Application Data"
"88","222.596263","10.100.102.220","157.240.195.56","TLSv1.2","113","4098","Application Data"
"89","224.351239","157.240.195.56","10.100.102.220","TLSv1.2","188","20157","Application Data"
"90","224.354241","10.100.102.220","157.240.195.56","TLSv1.2","148","4157","Application Data"
"91","230.677529","157.240.195.56","10.100.102.220","TLSv1.2","643","20291","Application Data"
"92","230.773007","10.100.102.220","157.240.195.56","TLSv1.2","150","4251","Application Data"
"93","234.506896","10.100.102.220","157.240.195.56","TLSv1.2","123","4347","Application Data"
"94","234.712846","157.240.195.56","10.100.102.220","TLSv1.2","125","20880","Application Data"
"95","241.209450","157.240.195.56","10.100.102.220","TCP","1446","25059","[TCP Previous segment not captured] 443  >  61098 [ACK] Seq=25059 Ack=4416 Win=439 Len=1392 [TCP segment of a reassembled PDU]"
"96","241.209450","157.240.195.56","10.100.102.220","TLSv1.2","1446","26451","Application Data"
"97","241.209450","157.240.195.56","10.100.102.220","TLSv1.2","502","27843","Application Data"
"98","241.584730","10.100.102.220","157.240.195.56","TLSv1.2","150","4416","[TCP ACKed unseen segment] , Application Data"
"99","241.727744","10.100.102.220","157.240.195.56","TLSv1.2","146","4512","Application Data"
"100","241.727865","10.100.102.220","157.240.195.56","TLSv1.2","146","4604","Application Data"
"101","241.981499","157.240.195.56","10.100.102.220","TLSv1.2","500","28291","Application Data"
"102","241.981499","157.240.195.56","10.100.102.220","TLSv1.2","538","28737","Application Data"
"103","242.211963","10.100.102.220","157.240.195.56","TLSv1.3","571","1","Client Hello"
"104","242.272173","157.240.195.56","10.100.102.220","TLSv1.3","266","1","Server Hello, Change Cipher Spec, Application Data"
"105","242.274983","10.100.102.220","157.240.195.56","TLSv1.3","118","518","Change Cipher Spec, Application Data"
"106","242.275213","10.100.102.220","157.240.195.56","TLSv1.3","152","582","Application Data"
"107","242.275413","10.100.102.220","157.240.195.56","TLSv1.3","592","680","Application Data"
"108","242.440610","157.240.195.56","10.100.102.220","TLSv1.3","128","384","[TCP Previous segment not captured] , Application Data"
"109","242.440756","157.240.195.56","10.100.102.220","TLSv1.3","98","458","Application Data"
"110","242.440912","10.100.102.220","157.240.195.56","TLSv1.3","85","1218","[TCP ACKed unseen segment] , Application Data"
"111","242.441517","157.240.195.56","10.100.102.220","TLSv1.3","449","502","Application Data"
"112","242.441517","157.240.195.56","10.100.102.220","TLSv1.3","1446","2289","[TCP Previous segment not captured] , Continuation Data"
"113","242.442352","157.240.195.56","10.100.102.220","TLSv1.3","1446","3681","Continuation Data"
"114","242.442352","157.240.195.56","10.100.102.220","TLSv1.3","388","5073","Continuation Data"
"115","244.589600","157.240.195.56","10.100.102.220","TLSv1.2","141","29221","Application Data"
"116","244.593737","10.100.102.220","157.240.195.56","TLSv1.2","181","4696","Application Data"
"117","244.798155","157.240.195.56","10.100.102.220","TLSv1.2","317","29308","Application Data"
"118","244.802248","10.100.102.220","157.240.195.56","TLSv1.2","125","4823","Application Data"
"119","245.511374","157.240.195.56","10.100.102.220","TCP","1446","29571","443  >  61098 [ACK] Seq=29571 Ack=4894 Win=439 Len=1392 [TCP segment of a reassembled PDU]"
"120","245.511374","157.240.195.56","10.100.102.220","TLSv1.2","930","30963","Application Data, Application Data"
"121","245.604794","10.100.102.220","157.240.195.56","TLSv1.2","144","4894","Application Data"
"122","245.881322","157.240.195.56","10.100.102.220","TLSv1.2","183","31839","Application Data"
"123","245.884631","10.100.102.220","157.240.195.56","TLSv1.2","148","4984","Application Data"
"124","251.497307","157.240.195.56","10.100.102.220","TLSv1.2","440","31968","Application Data"
"125","251.581279","10.100.102.220","157.240.195.56","TLSv1.2","150","5078","Application Data"
"126","255.995105","157.240.195.56","10.100.102.220","TCP","1446","32354","443  >  61098 [ACK] Seq=32354 Ack=5174 Win=439 Len=1392 [TCP segment of a reassembled PDU]"
"127","255.995300","157.240.195.56","10.100.102.220","TLSv1.2","646","33746","Application Data, Application Data"
