"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"1","0.000000","157.240.195.56","10.100.102.220","TLSv1.2","861","1","Application Data"
"2","0.211666","10.100.102.220","157.240.195.56","TLSv1.2","147","1","Application Data"
"3","0.222506","157.240.195.56","10.100.102.220","TLSv1.2","845","808","Application Data"
"4","0.403163","10.100.102.220","157.240.195.56","TLSv1.2","123","94","Application Data"
"5","0.413523","10.100.102.220","157.240.195.56","TLSv1.2","147","163","Application Data"
"6","0.626582","157.240.195.56","10.100.102.220","TLSv1.2","861","1599","Application Data"
"7","0.677793","157.240.195.56","10.100.102.220","TLSv1.2","125","2406","Application Data"
"8","0.865833","157.240.195.56","10.100.102.220","TLSv1.2","861","2477","Application Data"
"9","1.017314","10.100.102.220","157.240.195.56","TLSv1.2","147","256","Application Data"
"10","1.402905","10.100.102.220","157.240.195.56","TLSv1.2","147","349","Application Data"
"11","2.111713","157.240.195.56","10.100.102.220","TLSv1.2","203","3284","Application Data"
"12","2.115444","10.100.102.220","157.240.195.56","TLSv1.2","146","442","Application Data"
"13","3.547157","157.240.195.56","10.100.102.220","TLSv1.2","728","3433","Application Data"
"14","3.597550","10.100.102.220","157.240.195.56","TLSv1.2","129","534","Application Data"
"15","3.608773","10.100.102.220","157.240.195.56","TLSv1.2","129","609","Application Data"
"16","3.637814","10.100.102.220","157.240.195.56","TLSv1.2","129","684","Application Data"
"17","3.670538","10.100.102.220","157.240.195.56","TLSv1.2","129","759","Application Data"
"18","3.892305","157.240.195.56","10.100.102.220","TLSv1.2","203","4107","Application Data"
"19","3.895447","10.100.102.220","157.240.195.56","TLSv1.2","146","834","Application Data"
"20","10.103016","10.100.102.220","157.240.195.56","TCP","1446","926","61454  >  443 [ACK] Seq=926 Ack=4256 Win=515 Len=1392 [TCP segment of a reassembled PDU]"
"21","10.103016","10.100.102.220","157.240.195.56","TLSv1.2","1433","2318","Application Data"
"22","10.306607","157.240.195.56","10.100.102.220","TLSv1.2","117","4256","Application Data"
"23","10.352712","10.100.102.220","157.240.195.56","TLSv1.3","571","1","Client Hello"
"24","10.463491","157.240.195.56","10.100.102.220","TLSv1.3","266","1","Server Hello, Change Cipher Spec, Application Data"
"25","10.466800","10.100.102.220","157.240.195.56","TLSv1.3","118","518","Change Cipher Spec, Application Data"
"26","10.467479","10.100.102.220","157.240.195.56","TLSv1.3","152","582","Application Data"
"27","10.468282","10.100.102.220","157.240.195.56","TLSv1.3","524","680","Application Data"
"28","10.468489","10.100.102.220","157.240.195.56","TLSv1.3","883","1150","Application Data"
"29","10.468578","10.100.102.220","157.240.195.56","TLSv1.3","177","1979","Application Data"
"30","10.468637","10.100.102.220","157.240.195.56","TLSv1.3","883","2102","Application Data"
"31","10.560682","157.240.195.56","10.100.102.220","TLSv1.3","225","213","Application Data"
"32","10.560682","157.240.195.56","10.100.102.220","TLSv1.3","85","458","[TCP Previous segment not captured] , Application Data"
"33","10.561166","157.240.195.56","10.100.102.220","TLSv1.3","102","489","Application Data"
"34","10.561730","10.100.102.220","157.240.195.56","TLSv1.3","85","2931","[TCP ACKed unseen segment] , Application Data"
"35","10.571311","157.240.195.56","10.100.102.220","TLSv1.3","540","537","Application Data"
"36","10.917813","157.240.195.56","10.100.102.220","TLSv1.3","258","1023","Application Data"
"37","26.763110","10.100.102.220","157.240.195.56","TLSv1.2","123","3697","Application Data"
"38","26.943333","157.240.195.56","10.100.102.220","TLSv1.2","125","4319","Application Data"
"39","38.177694","157.240.195.56","10.100.102.220","TLSv1.2","829","4390","Application Data"
"40","38.517403","10.100.102.220","157.240.195.56","TLSv1.2","128","3766","Application Data"
"41","38.546050","10.100.102.220","157.240.195.56","TLSv1.2","147","3840","Application Data"
"42","38.723770","157.240.195.56","10.100.102.220","TLSv1.2","1062","5165","Application Data"
"43","42.416140","157.240.195.56","10.100.102.220","TLSv1.2","288","6173","Application Data"
"44","42.451820","10.100.102.220","157.240.195.56","TLSv1.2","129","3933","Application Data"
"45","55.942554","10.100.102.220","157.240.195.56","TLSv1.2","123","4008","Application Data"
"46","56.127041","157.240.195.56","10.100.102.220","TLSv1.2","125","6407","Application Data"
"47","82.326844","10.100.102.220","157.240.195.56","TLSv1.2","123","4077","Application Data"
"48","82.585087","157.240.195.56","10.100.102.220","TLSv1.2","125","6478","Application Data"
"49","106.136301","10.100.102.220","157.240.195.56","TLSv1.2","123","4146","Application Data"
"50","106.392621","157.240.195.56","10.100.102.220","TLSv1.2","125","6549","Application Data"
"51","124.584079","10.100.102.220","157.240.195.56","TLSv1.2","123","4215","Application Data"
"52","124.885496","157.240.195.56","10.100.102.220","TLSv1.2","125","6620","Application Data"
"53","132.987204","157.240.195.56","10.100.102.220","TLSv1.2","238","6691","Application Data"
"54","132.992134","10.100.102.220","157.240.195.56","TLSv1.2","148","4284","Application Data"
"55","152.127688","10.100.102.220","157.240.195.56","TLSv1.2","123","4378","Application Data"
"56","152.281566","157.240.195.56","10.100.102.220","TLSv1.2","835","6875","Application Data"
"57","152.329760","157.240.195.56","10.100.102.220","TLSv1.2","125","7656","Application Data"
"58","152.471356","10.100.102.220","157.240.195.56","TLSv1.2","144","4447","Application Data"
"59","154.428995","157.240.195.56","10.100.102.220","TLSv1.2","183","7727","Application Data"
"60","154.431661","10.100.102.220","157.240.195.56","TLSv1.2","148","4537","Application Data"
"61","159.238199","157.240.195.56","10.100.102.220","TLSv1.2","329","7856","Application Data"
"62","159.295397","10.100.102.220","157.240.195.56","TLSv1.2","126","4631","Application Data"
"63","160.365779","157.240.195.56","10.100.102.220","TLSv1.2","585","8131","Application Data"
