"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"1","0.000000","10.9.3.101","224.0.0.251","MDNS","372","","Standard query response 0x0000 TXT TXT, cache flush PTR Yonatanâ\200\231s ipad ._rdlink._tcp.local SRV, cache flush 0 0 49154 Yonatans-ipad.local AAAA, cache flush fe80::e6:233d:70fc:e368 A, cache flush 10.9.3.101 NSEC, cache flush Yonatanâ\200\231s ipad ._rdlink._tcp.local NSEC, cache flush Yonatans-ipad.local OPT"
"2","0.000000","fe80::e6:233d:70fc:e368","ff02::fb","MDNS","392","","Standard query response 0x0000 TXT TXT, cache flush PTR Yonatanâ\200\231s ipad ._rdlink._tcp.local SRV, cache flush 0 0 49154 Yonatans-ipad.local AAAA, cache flush fe80::e6:233d:70fc:e368 A, cache flush 10.9.3.101 NSEC, cache flush Yonatanâ\200\231s ipad ._rdlink._tcp.local NSEC, cache flush Yonatans-ipad.local OPT"
"12","1.023688","10.9.0.225","224.0.0.251","MDNS","209","","Standard query response 0x0000 PTR \327\224-iPhone \327\251\327\234 \327\240\327\225\327’\327\224 (2)._rdlink._tcp.local TXT OPT"
"13","1.023688","fe80::106f:3284:5be3:9eae","ff02::fb","MDNS","229","","Standard query response 0x0000 PTR \327\224-iPhone \327\251\327\234 \327\240\327\225\327’\327\224 (2)._rdlink._tcp.local TXT OPT"
"14","1.131689","10.9.3.101","224.0.0.251","MDNS","564","","Standard query response 0x0000 TXT TXT, cache flush PTR _rdlink._tcp.local PTR Yonatanâ\200\231s ipad ._rdlink._tcp.local SRV, cache flush 0 0 49154 Yonatans-ipad.local PTR, cache flush Yonatans-ipad.local PTR, cache flush Yonatans-ipad.local AAAA, cache flush fe80::e6:233d:70fc:e368 A, cache flush 10.9.3.101 NSEC, cache flush Yonatanâ\200\231s ipad ._rdlink._tcp.local NSEC, cache flush 8.6.3.E.C.F.0.7.D.3.3.2.6.E.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 101.3.9.10.in-addr.arpa NSEC, cache flush Yonatans-ipad.local OPT"
"15","1.131689","fe80::e6:233d:70fc:e368","ff02::fb","MDNS","584","","Standard query response 0x0000 TXT TXT, cache flush PTR _rdlink._tcp.local PTR Yonatanâ\200\231s ipad ._rdlink._tcp.local SRV, cache flush 0 0 49154 Yonatans-ipad.local PTR, cache flush Yonatans-ipad.local PTR, cache flush Yonatans-ipad.local AAAA, cache flush fe80::e6:233d:70fc:e368 A, cache flush 10.9.3.101 NSEC, cache flush Yonatanâ\200\231s ipad ._rdlink._tcp.local NSEC, cache flush 8.6.3.E.C.F.0.7.D.3.3.2.6.E.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 101.3.9.10.in-addr.arpa NSEC, cache flush Yonatans-ipad.local OPT"
"16","1.132482","157.240.195.56","10.9.2.177","TLSv1.2","824","1","Application Data"
"17","1.182667","10.9.2.177","157.240.195.56","TCP","54","1","56568  >  443 [ACK] Seq=1 Ack=771 Win=258 Len=0"
"18","1.246758","10.9.2.177","157.240.195.56","TLSv1.2","150","1","Application Data"
"19","1.373013","157.240.195.56","10.9.2.177","TCP","56","771","443  >  56568 [ACK] Seq=771 Ack=97 Win=2594 Len=0"
"20","1.441023","10.9.2.177","146.112.41.2","TCP","66","0","57322  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"21","1.539046","157.240.195.56","10.9.2.177","TLSv1.2","195","771","Application Data"
"22","1.539046","146.112.41.2","10.9.2.177","TCP","66","0","443  >  57322 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1380 SACK_PERM WS=2048"
"23","1.539126","10.9.2.177","146.112.41.2","TCP","54","1","57322  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"24","1.539658","10.9.2.177","146.112.41.2","TLSv1.3","606","1","Client Hello"
"25","1.541253","10.9.2.177","157.240.195.56","TLSv1.2","154","97","Application Data"
"36","1.665559","157.240.195.56","10.9.2.177","TCP","56","912","443  >  56568 [ACK] Seq=912 Ack=197 Win=2594 Len=0"
"37","1.665559","146.112.41.2","10.9.2.177","TCP","56","1","443  >  57322 [ACK] Seq=1 Ack=553 Win=65536 Len=0"
"38","1.665559","146.112.41.2","10.9.2.177","TLSv1.3","1434","1","Server Hello, Change Cipher Spec, Application Data"
"39","1.665741","146.112.41.2","10.9.2.177","TCP","1434","1381","443  >  57322 [ACK] Seq=1381 Ack=553 Win=65536 Len=1380 [TCP segment of a reassembled PDU]"
"40","1.665741","146.112.41.2","10.9.2.177","TCP","1434","2761","443  >  57322 [ACK] Seq=2761 Ack=553 Win=65536 Len=1380 [TCP segment of a reassembled PDU]"
"41","1.665741","146.112.41.2","10.9.2.177","TCP","1434","4141","443  >  57322 [ACK] Seq=4141 Ack=553 Win=65536 Len=1380 [TCP segment of a reassembled PDU]"
"42","1.665741","146.112.41.2","10.9.2.177","TCP","1434","5521","443  >  57322 [ACK] Seq=5521 Ack=553 Win=65536 Len=1380 [TCP segment of a reassembled PDU]"
"43","1.665741","146.112.41.2","10.9.2.177","TLSv1.3","725","6901","Application Data, Application Data, Application Data"
"44","1.665794","10.9.2.177","146.112.41.2","TCP","54","553","57322  >  443 [ACK] Seq=553 Ack=7572 Win=66048 Len=0"
"45","1.666358","10.9.2.177","146.112.41.2","TLSv1.3","118","553","Change Cipher Spec, Application Data"
"46","1.666619","10.9.2.177","146.112.41.2","TLSv1.3","152","617","Application Data"
"47","1.666800","10.9.2.177","146.112.41.2","TLSv1.3","288","715","Application Data"
"48","1.666856","10.9.2.177","146.112.41.2","TLSv1.3","244","949","Application Data"
"49","1.724604","10.9.2.177","208.67.220.220","DNS","89","","Standard query 0xfd4a A media-mrs2-2.cdn.whatsapp.net"
"50","1.724880","10.9.2.177","208.67.220.220","DNS","89","","Standard query 0xfcbe HTTPS media-mrs2-2.cdn.whatsapp.net"
"51","1.725012","10.9.2.177","146.112.41.2","TLSv1.3","89","1139","Application Data"
