"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"1","0.000000","fe80::c47:ef4b:4fb4:831e","ff02::fb","MDNS","423","","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR Oriâ\200\231s iPhone ._rdlink._tcp.local TXT SRV, cache flush 0 0 49155 Oris-iPhone.local AAAA, cache flush fe80::c47:ef4b:4fb4:831e A, cache flush 10.9.0.231 NSEC, cache flush Oriâ\200\231s iPhone ._rdlink._tcp.local NSEC, cache flush Oris-iPhone.local OPT"
"2","0.000000","10.9.0.231","224.0.0.251","MDNS","403","","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR Oriâ\200\231s iPhone ._rdlink._tcp.local TXT SRV, cache flush 0 0 49155 Oris-iPhone.local AAAA, cache flush fe80::c47:ef4b:4fb4:831e A, cache flush 10.9.0.231 NSEC, cache flush Oriâ\200\231s iPhone ._rdlink._tcp.local NSEC, cache flush Oris-iPhone.local OPT"
"5","0.211917","fe80::d9:c763:c407:95be","ff02::fb","MDNS","277","","Standard query response 0x0000 PTR, cache flush h-Ipad-sl-qwby.local PTR, cache flush h-Ipad-sl-qwby.local NSEC, cache flush E.B.5.9.7.0.4.C.3.6.7.C.9.D.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 29.1.9.10.in-addr.arpa OPT"
"6","0.211917","10.9.1.29","224.0.0.251","MDNS","257","","Standard query response 0x0000 PTR, cache flush h-Ipad-sl-qwby.local PTR, cache flush h-Ipad-sl-qwby.local NSEC, cache flush E.B.5.9.7.0.4.C.3.6.7.C.9.D.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 29.1.9.10.in-addr.arpa OPT"
"9","0.211917","10.9.2.194","224.0.0.251","MDNS","195","","Standard query response 0x0000 TXT PTR \327\224-iPad \327\251\327\234 Ori (3)._rdlink._tcp.local OPT"
"10","0.372880","fe80::14cc:c4e:c053:a259","ff02::fb","MDNS","215","","Standard query response 0x0000 TXT PTR \327\224-iPad \327\251\327\234 Ori (3)._rdlink._tcp.local OPT"
"11","0.372880","fe80::d9:c763:c407:95be","ff02::fb","MDNS","201","","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"12","0.373358","10.9.1.29","224.0.0.251","MDNS","181","","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"25","0.490396","10.9.2.153","239.255.255.250","SSDP","217","","M-SEARCH * HTTP/1.1 "
"26","0.889266","fe80::d9:c763:c407:95be","ff02::fb","MDNS","298","","Standard query 0x0000 ANY \327\224-Ipad \327\251\327\234 \327\247\327\225\327\221\327\231._rdlink._tcp.local, ""QU"" question ANY \327\224-Ipad \327\251\327\234 \327\247\327\225\327\221\327\231._companion-link._tcp.local, ""QU"" question ANY h-Ipad-sl-qwby.local, ""QU"" question SRV 0 0 49154 h-Ipad-sl-qwby.local SRV 0 0 50027 h-Ipad-sl-qwby.local AAAA fe80::d9:c763:c407:95be A 10.9.1.29 OPT"
