"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"1","0.000000","10.9.1.63","224.0.0.251","MDNS","103","","Standard query 0x0002 PTR _2DB7CC49._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"2","0.000000","10.9.3.88","224.0.0.251","MDNS","103","","Standard query 0x0001 PTR _233637DE._sub._googlecast._tcp.local, ""QU"" question PTR _googlecast._tcp.local, ""QU"" question"
"3","0.207689","10.9.3.88","224.0.0.251","MDNS","152","","Standard query 0x0000 ANY {""nm"":""Redmi 10"",""as"":""[8194]"",""ip"":""88""}._mi-connect._udp.local, ""QM"" question SRV 0 0 56666 Android.local"
"4","0.207689","fe80::bd0c:1ea9:83ea:fd70","ff02::fb","MDNS","172","","Standard query 0x0000 ANY {""nm"":""Redmi 10"",""as"":""[8194]"",""ip"":""88""}._mi-connect._udp.local, ""QM"" question SRV 0 0 56666 Android.local"
"5","0.207689","10.9.0.169","224.0.0.251","MDNS","103","","Standard query 0x002b PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"6","0.207689","fe80::9d3e:4708:dcaa:ad28","ff02::fb","MDNS","155","","Standard query response 0x0000 PTR {""nm"":""POCO X3 Pro"",""as"":""[8194]"",""ip"":""76""}._mi-connect._udp.local"
"7","0.207689","10.9.1.76","224.0.0.251","MDNS","135","","Standard query response 0x0000 PTR {""nm"":""POCO X3 Pro"",""as"":""[8194]"",""ip"":""76""}._mi-connect._udp.local"
"8","0.207689","10.9.3.88","224.0.0.251","MDNS","152","","Standard query 0x0000 ANY {""nm"":""Redmi 10"",""as"":""[8194]"",""ip"":""88""}._mi-connect._udp.local, ""QM"" question SRV 0 0 56666 Android.local"
"9","0.208330","fe80::bd0c:1ea9:83ea:fd70","ff02::fb","MDNS","172","","Standard query 0x0000 ANY {""nm"":""Redmi 10"",""as"":""[8194]"",""ip"":""88""}._mi-connect._udp.local, ""QM"" question SRV 0 0 56666 Android.local"
"10","0.514732","10.9.1.63","224.0.0.251","MDNS","287","","Standard query response 0x0000 PTR, cache flush Android-2.local PTR, cache flush Android-2.local A, cache flush 10.9.1.63 AAAA, cache flush fe80::4a2c:a0ff:fe9e:ba5 NSEC, cache flush 63.1.9.10.in-addr.arpa NSEC, cache flush 5.A.B.0.E.9.E.F.F.F.0.A.C.2.A.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-2.local"
