"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"1","0.000000","10.9.2.177","146.75.118.248","TCP","55","1","57187  >  443 [ACK] Seq=1 Ack=1 Win=2451 Len=1 [TCP segment of a reassembled PDU]"
"2","0.002964","20.67.143.122","10.9.2.177","TCP","66","1","443  >  57204 [ACK] Seq=1 Ack=1 Win=2045 Len=0 SLE=0 SRE=1"
"3","0.099433","10.9.2.177","13.107.5.80","TCP","55","1","57214  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"4","0.099604","10.9.2.177","172.217.22.110","TCP","55","1","57213  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1 [TCP segment of a reassembled PDU]"
"5","0.102154","146.75.118.248","10.9.2.177","TCP","66","1","443  >  57187 [ACK] Seq=1 Ack=2 Win=293 Len=0 SLE=1 SRE=2"
"6","0.104287","172.217.22.110","10.9.2.177","TCP","66","1","443  >  57213 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"7","0.256634","10.9.0.231","224.0.0.251","MDNS","110","","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question OPT"
"8","0.256634","fe80::c47:ef4b:4fb4:831e","ff02::fb","MDNS","130","","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question OPT"
"9","0.256634","13.107.5.80","10.9.2.177","TCP","66","1","443  >  57214 [ACK] Seq=1 Ack=2 Win=16384 Len=0 SLE=1 SRE=2"
"10","0.307045","10.9.2.177","146.75.118.251","TCP","55","1","57207  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1 [TCP segment of a reassembled PDU]"
"11","0.307109","10.9.2.177","146.75.118.251","TCP","55","1","57208  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1 [TCP segment of a reassembled PDU]"
"12","0.308462","fe80::c47:ef4b:4fb4:831e","ff02::fb","MDNS","423","","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR Oriâ\200\231s iPhone ._rdlink._tcp.local TXT SRV, cache flush 0 0 49155 Oris-iPhone.local AAAA, cache flush fe80::c47:ef4b:4fb4:831e A, cache flush 10.9.0.231 NSEC, cache flush Oriâ\200\231s iPhone ._rdlink._tcp.local NSEC, cache flush Oris-iPhone.local OPT"
"13","0.308462","10.9.0.231","224.0.0.251","MDNS","403","","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR Oriâ\200\231s iPhone ._rdlink._tcp.local TXT SRV, cache flush 0 0 49155 Oris-iPhone.local AAAA, cache flush fe80::c47:ef4b:4fb4:831e A, cache flush 10.9.0.231 NSEC, cache flush Oriâ\200\231s iPhone ._rdlink._tcp.local NSEC, cache flush Oris-iPhone.local OPT"
"14","0.319445","10.9.2.177","34.98.74.57","TCP","55","1","57101  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1 [TCP segment of a reassembled PDU]"
"15","0.333239","34.98.74.57","10.9.2.177","TCP","66","1","443  >  57101 [ACK] Seq=1 Ack=2 Win=269 Len=0 SLE=1 SRE=2"
"16","0.394628","10.9.2.177","239.255.255.250","SSDP","218","","M-SEARCH * HTTP/1.1 "
"17","0.395792","146.75.118.251","10.9.2.177","TCP","66","1","443  >  57207 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"18","0.395792","146.75.118.251","10.9.2.177","TCP","66","1","443  >  57208 [ACK] Seq=1 Ack=2 Win=292 Len=0 SLE=1 SRE=2"
"19","0.397678","fe80::e6:233d:70fc:e368","ff02::fb","MDNS","392","","Standard query response 0x0000 TXT TXT, cache flush PTR Yonatanâ\200\231s ipad ._rdlink._tcp.local SRV, cache flush 0 0 49154 Yonatans-ipad.local AAAA, cache flush fe80::e6:233d:70fc:e368 A, cache flush 10.9.3.101 NSEC, cache flush Yonatanâ\200\231s ipad ._rdlink._tcp.local NSEC, cache flush Yonatans-ipad.local OPT"
"20","0.398969","10.9.3.101","224.0.0.251","MDNS","372","","Standard query response 0x0000 TXT TXT, cache flush PTR Yonatanâ\200\231s ipad ._rdlink._tcp.local SRV, cache flush 0 0 49154 Yonatans-ipad.local AAAA, cache flush fe80::e6:233d:70fc:e368 A, cache flush 10.9.3.101 NSEC, cache flush Yonatanâ\200\231s ipad ._rdlink._tcp.local NSEC, cache flush Yonatans-ipad.local OPT"
"21","0.419554","10.9.2.177","146.75.118.248","TCP","55","1","57215  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"22","0.664676","146.75.118.248","10.9.2.177","TCP","66","1","443  >  57215 [ACK] Seq=1 Ack=2 Win=288 Len=0 SLE=1 SRE=2"
"25","1.074004","157.240.195.56","10.9.2.177","TCP","1434","1","443  >  56568 [ACK] Seq=1 Ack=1 Win=2339 Len=1380 [TCP segment of a reassembled PDU]"
"26","1.074004","157.240.195.56","10.9.2.177","TLSv1.2","187","1381","Application Data"
"27","1.074094","10.9.2.177","157.240.195.56","TCP","54","1","56568  >  443 [ACK] Seq=1 Ack=1514 Win=258 Len=0"
"28","1.074293","157.240.195.56","10.9.2.177","TCP","1434","1514","443  >  56568 [ACK] Seq=1514 Ack=1 Win=2339 Len=1380 [TCP segment of a reassembled PDU]"
"29","1.074293","157.240.195.56","10.9.2.177","TLSv1.2","1269","2894","Application Data"
"30","1.074293","157.240.195.56","10.9.2.177","TCP","1434","4109","443  >  56568 [ACK] Seq=4109 Ack=1 Win=2339 Len=1380 [TCP segment of a reassembled PDU]"
"31","1.074293","157.240.195.56","10.9.2.177","TLSv1.2","1175","5489","Application Data, Application Data"
"32","1.074335","10.9.2.177","157.240.195.56","TCP","54","1","56568  >  443 [ACK] Seq=1 Ack=6610 Win=258 Len=0"
"33","1.187531","10.9.2.177","157.240.195.56","TLSv1.2","150","1","Application Data"
"34","1.369588","10.9.2.177","35.186.224.25","TCP","55","1","57222  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1 [TCP segment of a reassembled PDU]"
"35","1.370855","157.240.195.56","10.9.2.177","TCP","56","6610","443  >  56568 [ACK] Seq=6610 Ack=97 Win=2339 Len=0"
"36","1.370855","157.240.195.56","10.9.2.177","TLSv1.2","131","6610","Application Data"
"37","1.374103","35.186.224.25","10.9.2.177","TCP","66","1","443  >  57222 [ACK] Seq=1 Ack=2 Win=269 Len=0 SLE=1 SRE=2"
"38","1.399825","10.9.2.177","239.255.255.250","SSDP","218","","M-SEARCH * HTTP/1.1 "
"39","1.420035","10.9.2.177","157.240.195.56","TCP","54","97","56568  >  443 [ACK] Seq=97 Ack=6687 Win=258 Len=0"
"40","1.592449","fe80::e6:233d:70fc:e368","ff02::fb","MDNS","584","","Standard query response 0x0000 TXT TXT, cache flush PTR _rdlink._tcp.local PTR Yonatanâ\200\231s ipad ._rdlink._tcp.local SRV, cache flush 0 0 49154 Yonatans-ipad.local PTR, cache flush Yonatans-ipad.local PTR, cache flush Yonatans-ipad.local AAAA, cache flush fe80::e6:233d:70fc:e368 A, cache flush 10.9.3.101 NSEC, cache flush Yonatanâ\200\231s ipad ._rdlink._tcp.local NSEC, cache flush 8.6.3.E.C.F.0.7.D.3.3.2.6.E.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 101.3.9.10.in-addr.arpa NSEC, cache flush Yonatans-ipad.local OPT"
