"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"3","0.101631","10.9.0.79","224.0.0.251","MDNS","259","","Standard query response 0x0000 PTR, cache flush h-iPhone-sl-Asaf.local PTR, cache flush h-iPhone-sl-Asaf.local NSEC, cache flush 8.1.4.1.3.D.D.5.0.4.9.1.0.C.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 79.0.9.10.in-addr.arpa OPT"
"6","0.101946","fe80::c0:1940:5dd3:1418","ff02::fb","MDNS","279","","Standard query response 0x0000 PTR, cache flush h-iPhone-sl-Asaf.local PTR, cache flush h-iPhone-sl-Asaf.local NSEC, cache flush 8.1.4.1.3.D.D.5.0.4.9.1.0.C.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 79.0.9.10.in-addr.arpa OPT"
"7","0.101946","10.9.1.160","224.0.0.251","MDNS","82","","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"8","0.101946","10.9.1.160","224.0.0.251","MDNS","82","","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"9","0.210140","fe80::c0:1940:5dd3:1418","ff02::fb","MDNS","159","","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"10","0.210140","10.9.0.79","224.0.0.251","MDNS","139","","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"13","0.304111","10.9.3.242","239.255.255.250","SSDP","217","","M-SEARCH * HTTP/1.1 "
"15","0.551658","10.9.0.79","224.0.0.251","MDNS","214","","Standard query 0x0000 ANY \327\224-iPhone \327\251\327\234 Asaf._rdlink._tcp.local, ""QU"" question ANY h-iPhone-sl-Asaf.local, ""QU"" question SRV 0 0 49158 h-iPhone-sl-Asaf.local AAAA fe80::c0:1940:5dd3:1418 A 10.9.0.79 OPT"
"16","0.551658","fe80::c0:1940:5dd3:1418","ff02::fb","MDNS","234","","Standard query 0x0000 ANY \327\224-iPhone \327\251\327\234 Asaf._rdlink._tcp.local, ""QU"" question ANY h-iPhone-sl-Asaf.local, ""QU"" question SRV 0 0 49158 h-iPhone-sl-Asaf.local AAAA fe80::c0:1940:5dd3:1418 A 10.9.0.79 OPT"
"17","0.858492","fe80::c0:1940:5dd3:1418","ff02::fb","MDNS","234","","Standard query 0x0000 ANY \327\224-iPhone \327\251\327\234 Asaf._rdlink._tcp.local, ""QM"" question ANY h-iPhone-sl-Asaf.local, ""QM"" question SRV 0 0 49158 h-iPhone-sl-Asaf.local AAAA fe80::c0:1940:5dd3:1418 A 10.9.0.79 OPT"
"18","0.858492","10.9.0.79","224.0.0.251","MDNS","214","","Standard query 0x0000 ANY \327\224-iPhone \327\251\327\234 Asaf._rdlink._tcp.local, ""QM"" question ANY h-iPhone-sl-Asaf.local, ""QM"" question SRV 0 0 49158 h-iPhone-sl-Asaf.local AAAA fe80::c0:1940:5dd3:1418 A 10.9.0.79 OPT"
"19","1.027487","10.9.0.79","224.0.0.251","MDNS","214","","Standard query 0x0000 ANY \327\224-iPhone \327\251\327\234 Asaf._rdlink._tcp.local, ""QM"" question ANY h-iPhone-sl-Asaf.local, ""QM"" question SRV 0 0 49158 h-iPhone-sl-Asaf.local AAAA fe80::c0:1940:5dd3:1418 A 10.9.0.79 OPT"
"20","1.027487","10.9.0.79","224.0.0.251","MDNS","259","","Standard query response 0x0000 PTR, cache flush h-iPhone-sl-Asaf.local PTR, cache flush h-iPhone-sl-Asaf.local NSEC, cache flush 8.1.4.1.3.D.D.5.0.4.9.1.0.C.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 79.0.9.10.in-addr.arpa OPT"
"25","1.028248","fe80::c0:1940:5dd3:1418","ff02::fb","MDNS","234","","Standard query 0x0000 ANY \327\224-iPhone \327\251\327\234 Asaf._rdlink._tcp.local, ""QM"" question ANY h-iPhone-sl-Asaf.local, ""QM"" question SRV 0 0 49158 h-iPhone-sl-Asaf.local AAAA fe80::c0:1940:5dd3:1418 A 10.9.0.79 OPT"
"26","1.028248","fe80::c0:1940:5dd3:1418","ff02::fb","MDNS","279","","Standard query response 0x0000 PTR, cache flush h-iPhone-sl-Asaf.local PTR, cache flush h-iPhone-sl-Asaf.local NSEC, cache flush 8.1.4.1.3.D.D.5.0.4.9.1.0.C.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 79.0.9.10.in-addr.arpa OPT"
"27","1.127600","10.9.0.79","224.0.0.251","MDNS","404","","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR \327\224-\\u200FMacBook Pro \327\251\327\234 Amit._companion-link._tcp.local PTR \327\224-iPhone \327\251\327\234 \327\240\327\225\327’\327\224 (2)._companion-link._tcp.local PTR Snir sasi._companion-link._tcp.local PTR iPad (92)._companion-link._tcp.local PTR Giladâ\200\231s iPad (3)._companion-link._tcp.local PTR Yonatanâ\200\231s ipad ._companion-link._tcp.local PTR \327\224-Ipad \327\251\327\234 \327\247\327\225\327\221\327\231._companion-link._tcp.local PTR Amitâ\200\231s ipad (2)._companion-link._tcp.local OPT"
"29","1.229247","fe80::c0:1940:5dd3:1418","ff02::fb","MDNS","424","","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR \327\224-\\u200FMacBook Pro \327\251\327\234 Amit._companion-link._tcp.local PTR \327\224-iPhone \327\251\327\234 \327\240\327\225\327’\327\224 (2)._companion-link._tcp.local PTR Snir sasi._companion-link._tcp.local PTR iPad (92)._companion-link._tcp.local PTR Giladâ\200\231s iPad (3)._companion-link._tcp.local PTR Yonatanâ\200\231s ipad ._companion-link._tcp.local PTR \327\224-Ipad \327\251\327\234 \327\247\327\225\327\221\327\231._companion-link._tcp.local PTR Amitâ\200\231s ipad (2)._companion-link._tcp.local OPT"
"30","1.433398","10.9.0.79","224.0.0.251","MDNS","416","","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR \327\224-iPhone \327\251\327\234 Asaf._rdlink._tcp.local TXT SRV, cache flush 0 0 49158 h-iPhone-sl-Asaf.local AAAA, cache flush fe80::c0:1940:5dd3:1418 A, cache flush 10.9.0.79 NSEC, cache flush \327\224-iPhone \327\251\327\234 Asaf._rdlink._tcp.local NSEC, cache flush h-iPhone-sl-Asaf.local OPT"
"31","1.433398","fe80::c0:1940:5dd3:1418","ff02::fb","MDNS","436","","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR \327\224-iPhone \327\251\327\234 Asaf._rdlink._tcp.local TXT SRV, cache flush 0 0 49158 h-iPhone-sl-Asaf.local AAAA, cache flush fe80::c0:1940:5dd3:1418 A, cache flush 10.9.0.79 NSEC, cache flush \327\224-iPhone \327\251\327\234 Asaf._rdlink._tcp.local NSEC, cache flush h-iPhone-sl-Asaf.local OPT"
"32","1.948945","fe80::c0:1940:5dd3:1418","ff02::fb","MDNS","436","","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR \327\224-iPhone \327\251\327\234 Asaf._rdlink._tcp.local TXT SRV, cache flush 0 0 49158 h-iPhone-sl-Asaf.local AAAA, cache flush fe80::c0:1940:5dd3:1418 A, cache flush 10.9.0.79 NSEC, cache flush \327\224-iPhone \327\251\327\234 Asaf._rdlink._tcp.local NSEC, cache flush h-iPhone-sl-Asaf.local OPT"
"33","2.043766","10.9.0.79","224.0.0.251","MDNS","416","","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR \327\224-iPhone \327\251\327\234 Asaf._rdlink._tcp.local TXT SRV, cache flush 0 0 49158 h-iPhone-sl-Asaf.local AAAA, cache flush fe80::c0:1940:5dd3:1418 A, cache flush 10.9.0.79 NSEC, cache flush \327\224-iPhone \327\251\327\234 Asaf._rdlink._tcp.local NSEC, cache flush h-iPhone-sl-Asaf.local OPT"
"40","2.153615","157.240.195.56","10.9.2.177","TLSv1.2","816","1","Application Data"
"42","2.203119","10.9.2.177","157.240.195.56","TCP","54","1","56568  >  443 [ACK] Seq=1 Ack=763 Win=258 Len=0"
"43","2.246936","10.9.2.177","157.240.195.56","TLSv1.2","150","1","Application Data"
"44","2.394772","157.240.195.56","10.9.2.177","TCP","56","763","443  >  56568 [ACK] Seq=763 Ack=97 Win=2454 Len=0"
"45","2.563551","157.240.195.56","10.9.2.177","TLSv1.2","580","763","Application Data"
"46","2.612888","10.9.2.177","157.240.195.56","TCP","54","97","56568  >  443 [ACK] Seq=97 Ack=1289 Win=256 Len=0"
"47","2.619546","10.9.2.177","157.240.195.56","TLSv1.2","150","97","Application Data"
"48","2.871827","157.240.195.56","10.9.2.177","TCP","56","1289","443  >  56568 [ACK] Seq=1289 Ack=193 Win=2454 Len=0"
"49","2.871827","157.240.195.56","10.9.2.177","TLSv1.2","337","1289","Application Data"
"50","2.917865","10.9.2.177","157.240.195.56","TCP","54","193","56568  >  443 [ACK] Seq=193 Ack=1572 Win=255 Len=0"
"54","2.922184","10.9.2.177","157.240.195.56","TLSv1.2","150","193","Application Data"
