"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"1","0.000000","157.240.195.56","10.9.2.177","TLSv1.2","146","1","Application Data"
"2","0.038598","10.9.2.177","157.240.195.56","TLSv1.2","122","1","Application Data"
"3","0.061519","10.9.2.177","157.240.195.56","TLSv1.2","113","69","Application Data"
"4","0.095798","10.9.2.177","157.240.195.56","TLSv1.2","161","128","Application Data"
"5","0.330919","157.240.195.56","10.9.2.177","TCP","1434","93","443  >  56568 [ACK] Seq=93 Ack=235 Win=1379 Len=1380 [TCP segment of a reassembled PDU]"
"6","0.330919","157.240.195.56","10.9.2.177","TLSv1.2","116","1473","Application Data"
"7","0.517527","157.240.195.56","10.9.2.177","TLSv1.2","1044","1535","Application Data"
"8","0.575608","10.9.2.177","157.240.195.56","TLSv1.3","571","1","Client Hello"
"9","0.611739","10.9.2.177","157.240.195.56","TLSv1.2","150","235","Application Data"
"10","0.618481","157.240.195.56","10.9.2.177","TLSv1.3","266","1","Server Hello, Change Cipher Spec, Application Data"
"11","0.620444","10.9.2.177","157.240.195.56","TLSv1.3","118","518","Change Cipher Spec, Application Data"
"12","0.620644","10.9.2.177","157.240.195.56","TLSv1.3","152","582","Application Data"
"13","0.620863","10.9.2.177","157.240.195.56","TLSv1.3","521","680","Application Data"
"14","0.629424","10.9.2.177","157.240.195.56","TLSv1.2","129","331","Application Data"
"15","0.646857","10.9.2.177","157.240.195.56","TLSv1.2","162","406","Application Data"
"16","0.662700","157.240.195.56","10.9.2.177","TLSv1.3","225","213","Application Data"
"17","0.663147","157.240.195.56","10.9.2.177","TLSv1.3","128","384","Application Data"
"18","0.663147","157.240.195.56","10.9.2.177","TLSv1.3","98","458","Application Data"
"19","0.663458","10.9.2.177","157.240.195.56","TLSv1.3","85","1147","Application Data"
"20","0.767785","157.240.195.56","10.9.2.177","TLSv1.2","1076","2525","Application Data"
"21","0.767785","157.240.195.56","10.9.2.177","TCP","1434","502","443  >  56927 [ACK] Seq=502 Ack=1178 Win=265 Len=1380 [TCP segment of a reassembled PDU]"
"22","0.767785","157.240.195.56","10.9.2.177","TLSv1.3","318","1882","Application Data, Application Data"
"23","0.816973","157.240.195.56","10.9.2.177","TLSv1.2","149","3547","Application Data"
"24","5.480293","157.240.195.56","10.9.2.177","TLSv1.2","133","3642","Application Data"
"25","7.575044","157.240.195.56","10.9.2.177","TLSv1.2","133","3721","Application Data"
"26","11.878187","157.240.195.56","10.9.2.177","TLSv1.2","131","3800","Application Data"
"27","12.020836","157.240.195.56","10.9.2.177","TLSv1.2","131","3877","Application Data"
"28","12.594811","157.240.195.56","10.9.2.177","TLSv1.2","1074","3954","Application Data"
"29","12.651886","157.240.195.56","10.9.2.177","TLSv1.2","824","4974","Application Data"
"30","12.695779","157.240.195.56","10.9.2.177","TLSv1.2","195","5744","Application Data"
"31","12.705742","10.9.2.177","157.240.195.56","TLSv1.2","144","514","Application Data"
"32","12.705845","10.9.2.177","157.240.195.56","TLSv1.2","144","604","Application Data"
"33","12.718492","10.9.2.177","157.240.195.56","TLSv1.2","154","694","Application Data"
