"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"1","0.000000","10.9.2.177","157.240.195.56","TLSv1.2","113","1","Application Data"
"2","0.036720","10.9.2.177","157.240.195.56","TLSv1.2","163","60","Application Data"
"3","0.039917","157.240.195.56","10.9.2.177","TLSv1.2","1093","1","Application Data"
"4","0.096971","10.9.2.177","157.240.195.56","TLSv1.2","150","169","Application Data"
"5","0.411913","157.240.195.56","10.9.2.177","TLSv1.2","195","1040","Application Data"
"6","0.414115","10.9.2.177","157.240.195.56","TLSv1.2","154","265","Application Data"
"7","1.091164","157.240.195.56","10.9.2.177","TLSv1.2","131","1181","Application Data"
"8","1.106405","157.240.195.56","10.9.2.177","TLSv1.2","131","1258","Application Data"
"9","1.761519","157.240.195.56","10.9.2.177","TLSv1.2","1093","1335","Application Data"
"10","1.858393","10.9.2.177","157.240.195.56","TLSv1.2","150","365","Application Data"
"11","1.906960","10.9.2.177","157.240.195.56","TLSv1.2","162","461","Application Data"
"12","1.916573","157.240.195.56","10.9.2.177","TLSv1.2","195","2374","Application Data"
"13","1.918645","10.9.2.177","157.240.195.56","TLSv1.2","154","569","Application Data"
"14","1.959078","157.240.195.56","10.9.2.177","TLSv1.2","333","2515","Application Data"
"15","1.999543","10.9.2.177","157.240.195.56","TLSv1.2","144","669","Application Data"
"16","2.159338","157.240.195.56","10.9.2.177","TLSv1.2","131","2889","[TCP Previous segment not captured] , Application Data"
"17","2.160148","157.240.195.56","10.9.2.177","TLSv1.2","322","2966","Application Data"
"18","2.355172","10.9.2.177","157.240.195.56","TLSv1.2","150","759","[TCP ACKed unseen segment] , Application Data"
"19","2.366227","10.9.2.177","157.240.195.56","TLSv1.2","162","855","Application Data"
"20","2.434784","157.240.195.56","10.9.2.177","TLSv1.2","195","3234","Application Data"
"21","2.437828","10.9.2.177","157.240.195.56","TLSv1.2","154","963","Application Data"
"22","2.439477","157.240.195.56","10.9.2.177","TLSv1.2","812","3375","Application Data"
"23","2.493473","10.9.2.177","157.240.195.56","TLSv1.2","153","1063","Application Data"
