"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"1","0.000000","10.9.2.177","157.240.195.56","TLSv1.2","113","1","Application Data"
"2","1.258055","10.9.2.177","157.240.195.56","TLSv1.2","124","60","Application Data"
"3","1.559096","157.240.195.56","10.9.2.177","TLSv1.2","126","1","Application Data"
"4","1.612591","157.240.195.56","10.9.2.177","TLSv1.2","242","73","Application Data"
"5","1.640864","10.9.2.177","157.240.195.56","TLSv1.2","126","130","Application Data"
"6","25.560156","157.240.195.56","10.9.2.177","TCP","1434","261","443  >  56568 [ACK] Seq=261 Ack=202 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"7","25.560156","157.240.195.56","10.9.2.177","TLSv1.2","395","1641","Application Data, Application Data"
"8","25.639188","10.9.2.177","157.240.195.56","TLSv1.2","140","202","Application Data"
"9","25.658768","10.9.2.177","157.240.195.56","TLSv1.2","147","288","Application Data"
"10","25.698351","10.9.2.177","157.240.195.56","TLSv1.2","129","381","Application Data"
"11","25.930440","157.240.195.56","10.9.2.177","TLSv1.2","1076","1982","Application Data"
"12","25.931545","157.240.195.56","10.9.2.177","TLSv1.2","128","3004","Application Data"
"13","27.056746","157.240.195.56","10.9.2.177","TCP","1434","3078","443  >  56568 [ACK] Seq=3078 Ack=456 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"14","27.056746","157.240.195.56","10.9.2.177","TLSv1.2","169","4458","Application Data"
"15","27.122186","10.9.2.177","157.240.195.56","TLSv1.2","147","456","Application Data"
"16","27.371759","157.240.195.56","10.9.2.177","TCP","1434","4573","443  >  56568 [ACK] Seq=4573 Ack=549 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"17","27.371759","157.240.195.56","10.9.2.177","TLSv1.2","185","5953","Application Data"
"18","27.443435","10.9.2.177","157.240.195.56","TLSv1.2","147","549","Application Data"
"19","27.676358","157.240.195.56","10.9.2.177","TCP","1434","6084","443  >  56568 [ACK] Seq=6084 Ack=642 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"20","27.676358","157.240.195.56","10.9.2.177","TLSv1.2","287","7464","Application Data, Application Data"
"21","27.756864","10.9.2.177","157.240.195.56","TLSv1.2","147","642","Application Data"
"22","28.183542","157.240.195.56","10.9.2.177","TCP","1434","7697","443  >  56568 [ACK] Seq=7697 Ack=735 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"23","28.183542","157.240.195.56","10.9.2.177","TLSv1.2","319","9077","Application Data, Application Data"
"24","28.232007","157.240.195.56","10.9.2.177","TCP","1434","9342","443  >  56568 [ACK] Seq=9342 Ack=735 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"25","28.232007","157.240.195.56","10.9.2.177","TLSv1.2","230","10722","Application Data, Application Data"
"26","28.234709","157.240.195.56","10.9.2.177","TLSv1.2","206","10898","Application Data"
"27","28.262552","10.9.2.177","157.240.195.56","TLSv1.2","148","735","Application Data"
"28","28.272377","10.9.2.177","157.240.195.56","TLSv1.2","147","829","Application Data"
"29","28.465654","157.240.195.56","10.9.2.177","TLSv1.2","195","11050","Application Data"
"30","28.481756","157.240.195.56","10.9.2.177","TLSv1.2","1336","11191","Application Data"
"31","28.539625","10.9.2.177","157.240.195.56","TLSv1.2","154","922","Application Data"
"32","28.663852","157.240.195.56","10.9.2.177","TLSv1.2","195","12473","Application Data"
"33","28.678584","10.9.2.177","157.240.195.56","TLSv1.2","154","1022","Application Data"
"34","28.716063","157.240.195.56","10.9.2.177","TCP","1434","12614","443  >  56568 [ACK] Seq=12614 Ack=1022 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"35","28.716063","157.240.195.56","10.9.2.177","TLSv1.2","116","13994","Application Data"
"36","28.749818","157.240.195.56","10.9.2.177","TCP","1434","14056","443  >  56568 [ACK] Seq=14056 Ack=1122 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"37","28.749818","157.240.195.56","10.9.2.177","TLSv1.2","121","15436","Application Data"
"38","28.772779","10.9.2.177","157.240.195.56","TLSv1.2","162","1122","Application Data"
"39","28.815034","157.240.195.56","10.9.2.177","TLSv1.2","781","15503","Application Data"
"40","28.880528","10.9.2.177","157.240.195.56","TLSv1.2","150","1230","Application Data"
"41","28.897576","10.9.2.177","157.240.195.56","TLSv1.2","146","1326","Application Data"
"42","28.897634","10.9.2.177","157.240.195.56","TLSv1.2","148","1418","Application Data"
"43","28.897787","10.9.2.177","157.240.195.56","TLSv1.2","146","1512","Application Data"
"44","28.911020","10.9.2.177","157.240.195.56","TLSv1.2","129","1604","Application Data"
"45","28.911221","157.240.195.56","10.9.2.177","TLSv1.2","149","16230","Application Data"
"46","28.911295","10.9.2.177","157.240.195.56","TLSv1.2","129","1679","Application Data"
"47","28.921244","10.9.2.177","157.240.195.56","TLSv1.2","129","1754","Application Data"
"48","28.947712","10.9.2.177","157.240.195.56","TLSv1.2","129","1829","Application Data"
"49","28.948326","157.240.195.56","10.9.2.177","TCP","1434","16325","443  >  56568 [ACK] Seq=16325 Ack=1604 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"50","28.948326","157.240.195.56","10.9.2.177","TLSv1.2","100","17705","Application Data"
"51","28.966763","157.240.195.56","10.9.2.177","TLSv1.2","195","17751","Application Data"
"52","28.977269","10.9.2.177","157.240.195.56","TLSv1.2","154","1904","Application Data"
"53","29.013013","10.9.2.177","157.240.195.56","TLSv1.2","162","2004","Application Data"
"54","29.128165","10.9.2.177","157.240.195.56","TLSv1.2","150","2112","Application Data"
"55","29.141354","157.240.195.56","10.9.2.177","TLSv1.2","195","17892","Application Data"
"56","29.148694","157.240.195.56","10.9.2.177","TLSv1.2","149","18033","Application Data"
"57","29.165905","10.9.2.177","157.240.195.56","TLSv1.2","154","2208","Application Data"
"58","29.167719","157.240.195.56","10.9.2.177","TCP","1434","18128","443  >  56568 [ACK] Seq=18128 Ack=2112 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"59","29.167719","157.240.195.56","10.9.2.177","TLSv1.2","105","19508","Application Data"
"60","29.224553","157.240.195.56","10.9.2.177","TCP","1434","19559","443  >  56568 [ACK] Seq=19559 Ack=2308 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"61","29.225269","157.240.195.56","10.9.2.177","TLSv1.2","282","20939","Application Data, Application Data"
"62","29.348655","10.9.2.177","157.240.195.56","TLSv1.2","162","2308","Application Data"
"63","29.407720","10.9.2.177","157.240.195.56","TLSv1.2","150","2416","Application Data"
"64","29.424392","157.240.195.56","10.9.2.177","TLSv1.2","195","21167","Application Data"
"65","29.425708","10.9.2.177","157.240.195.56","TLSv1.2","154","2512","Application Data"
"66","29.484827","157.240.195.56","10.9.2.177","TLSv1.2","149","21308","Application Data"
"67","29.484827","157.240.195.56","10.9.2.177","TLSv1.2","1352","21403","Application Data"
