"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"1","0.000000","10.9.2.177","157.240.195.56","TLSv1.2","113","1","Application Data"
"2","0.005979","10.9.2.177","157.240.195.56","TLSv1.2","160","60","Application Data"
"3","0.567997","157.240.195.56","10.9.2.177","TLSv1.2","131","1","Application Data"
"4","0.619929","157.240.195.56","10.9.2.177","TLSv1.2","131","78","Application Data"
"5","0.635215","157.240.195.56","10.9.2.177","TLSv1.2","131","155","Application Data"
"6","3.844251","157.240.195.56","10.9.2.177","TLSv1.2","516","232","Application Data"
"7","3.880238","10.9.2.177","157.240.195.56","TLSv1.2","140","166","Application Data"
"8","3.884756","10.9.2.177","157.240.195.56","TLSv1.2","147","252","Application Data"
"9","3.945025","157.240.195.56","10.9.2.177","TLSv1.2","574","694","Application Data"
"10","3.984928","10.9.2.177","157.240.195.56","TLSv1.2","150","345","Application Data"
"11","4.152653","157.240.195.56","10.9.2.177","TLSv1.2","128","1214","Application Data"
"12","4.152722","157.240.195.56","10.9.2.177","TLSv1.2","195","1288","Application Data"
"13","4.154366","10.9.2.177","157.240.195.56","TLSv1.2","154","441","Application Data"
"14","4.599647","157.240.195.56","10.9.2.177","TLSv1.2","131","1429","Application Data"
"15","5.482027","157.240.195.56","10.9.2.177","TLSv1.2","542","1506","Application Data"
"16","5.482027","157.240.195.56","10.9.2.177","TLSv1.2","131","1994","Application Data"
"17","5.521737","10.9.2.177","157.240.195.56","TLSv1.2","150","541","Application Data"
"18","5.683128","157.240.195.56","10.9.2.177","TLSv1.2","195","2071","Application Data"
"19","5.684389","10.9.2.177","157.240.195.56","TLSv1.2","154","637","Application Data"
"20","5.828070","157.240.195.56","10.9.2.177","TLSv1.2","306","2212","Application Data"
"21","5.862064","10.9.2.177","157.240.195.56","TLSv1.2","150","737","Application Data"
"22","5.862995","157.240.195.56","10.9.2.177","TLSv1.2","131","2464","Application Data"
"23","6.068000","157.240.195.56","10.9.2.177","TLSv1.2","195","2541","Application Data"
"24","6.069924","10.9.2.177","157.240.195.56","TLSv1.2","154","833","Application Data"
"25","6.509164","157.240.195.56","10.9.2.177","TLSv1.2","306","2682","Application Data"
"26","6.509382","157.240.195.56","10.9.2.177","TLSv1.2","131","2934","Application Data"
"27","6.539807","10.9.2.177","157.240.195.56","TLSv1.2","150","933","Application Data"
"28","6.812458","157.240.195.56","10.9.2.177","TLSv1.2","195","3011","Application Data"
"29","6.814878","10.9.2.177","157.240.195.56","TLSv1.2","154","1029","Application Data"
"30","6.818133","157.240.195.56","10.9.2.177","TLSv1.2","131","3152","Application Data"
"31","7.013412","157.240.195.56","10.9.2.177","TLSv1.2","306","3229","Application Data"
"32","7.013412","157.240.195.56","10.9.2.177","TLSv1.2","131","3481","Application Data"
"33","7.076756","10.9.2.177","157.240.195.56","TLSv1.2","150","1129","Application Data"
"34","7.261873","157.240.195.56","10.9.2.177","TLSv1.2","195","3558","Application Data"
"35","7.261873","157.240.195.56","10.9.2.177","TLSv1.2","268","3699","Application Data"
"36","7.266797","10.9.2.177","157.240.195.56","TLSv1.2","154","1225","Application Data"
"37","7.269383","10.9.2.177","157.240.195.56","TLSv1.2","146","1325","Application Data"
"38","7.277692","10.9.2.177","157.240.195.56","TLSv1.2","130","1417","Application Data"
"39","7.633542","157.240.195.56","10.9.2.177","TLSv1.2","290","3913","Application Data"
"40","7.659030","10.9.2.177","157.240.195.56","TLSv1.2","150","1493","Application Data"
"41","7.659914","157.240.195.56","10.9.2.177","TLSv1.2","131","4149","Application Data"
"42","7.728462","157.240.195.56","10.9.2.177","TLSv1.2","195","4226","Application Data"
"43","7.734035","10.9.2.177","157.240.195.56","TLSv1.2","154","1589","Application Data"
"44","8.247861","157.240.195.56","10.9.2.177","TLSv1.2","290","4367","Application Data"
"45","8.247861","157.240.195.56","10.9.2.177","TLSv1.2","131","4603","Application Data"
"46","8.279464","10.9.2.177","157.240.195.56","TLSv1.2","150","1689","Application Data"
"47","8.651747","157.240.195.56","10.9.2.177","TLSv1.2","195","4680","Application Data"
"48","8.654161","10.9.2.177","157.240.195.56","TLSv1.2","154","1785","Application Data"
"49","8.657781","157.240.195.56","10.9.2.177","TLSv1.2","290","4821","Application Data"
"50","8.657781","157.240.195.56","10.9.2.177","TLSv1.2","131","5057","Application Data"
"51","8.716428","10.9.2.177","157.240.195.56","TLSv1.2","150","1885","Application Data"
"52","8.963194","157.240.195.56","10.9.2.177","TLSv1.2","195","5134","Application Data"
"53","8.965876","10.9.2.177","157.240.195.56","TLSv1.2","154","1981","Application Data"
"54","9.168180","157.240.195.56","10.9.2.177","TLSv1.2","306","5275","Application Data"
"55","9.205558","10.9.2.177","157.240.195.56","TLSv1.2","150","2081","Application Data"
"56","9.206290","157.240.195.56","10.9.2.177","TLSv1.2","131","5527","Application Data"
"57","9.276570","157.240.195.56","10.9.2.177","TLSv1.2","195","5604","Application Data"
"58","9.278737","10.9.2.177","157.240.195.56","TLSv1.2","154","2177","Application Data"
"59","9.850520","157.240.195.56","10.9.2.177","TLSv1.2","131","5745","Application Data"
"60","9.850520","157.240.195.56","10.9.2.177","TLSv1.2","306","5822","Application Data"
"61","9.883690","10.9.2.177","157.240.195.56","TLSv1.2","150","2277","Application Data"
"62","9.885592","157.240.195.56","10.9.2.177","TLSv1.2","131","6074","Application Data"
"63","9.988014","157.240.195.56","10.9.2.177","TLSv1.2","195","6151","Application Data"
"64","9.990178","10.9.2.177","157.240.195.56","TLSv1.2","154","2373","Application Data"
"65","10.602936","157.240.195.56","10.9.2.177","TLSv1.2","290","6292","Application Data"
"66","10.602936","157.240.195.56","10.9.2.177","TLSv1.2","131","6528","Application Data"
"67","10.602936","157.240.195.56","10.9.2.177","TLSv1.2","131","6605","Application Data"
