"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"1","0.000000","157.240.195.56","10.9.2.177","TLSv1.2","241","1","Application Data"
"2","0.000000","157.240.195.56","10.9.2.177","TLSv1.2","307","188","Application Data"
"3","0.006399","157.240.195.56","10.9.2.177","TLSv1.2","787","441","Application Data"
"4","0.036000","10.9.2.177","157.240.195.56","TLSv1.2","154","1","Application Data"
"5","0.036437","10.9.2.177","157.240.195.56","TLSv1.2","154","101","Application Data"
"6","0.169874","10.9.2.177","157.240.195.56","TLSv1.2","144","201","Application Data"
"7","5.846026","10.9.2.177","157.240.195.56","TLSv1.2","124","291","Application Data"
"8","6.270031","157.240.195.56","10.9.2.177","TLSv1.2","126","1174","Application Data"
"9","16.930215","157.240.195.56","10.9.2.177","TCP","1434","1246","443  >  56568 [ACK] Seq=1246 Ack=361 Win=1709 Len=1380 [TCP segment of a reassembled PDU]"
"10","16.930215","157.240.195.56","10.9.2.177","TLSv1.2","824","2626","Application Data, Application Data"
"11","17.104988","10.9.2.177","157.240.195.56","TLSv1.2","150","361","Application Data"
"12","17.265762","157.240.195.56","10.9.2.177","TCP","1434","3396","443  >  56568 [ACK] Seq=3396 Ack=457 Win=1709 Len=1380 [TCP segment of a reassembled PDU]"
"13","17.265762","157.240.195.56","10.9.2.177","TLSv1.2","1000","4776","Application Data, Application Data"
"14","17.470371","10.9.2.177","157.240.195.56","TLSv1.2","150","457","Application Data"
"15","17.471018","157.240.195.56","10.9.2.177","TCP","1434","5722","443  >  56568 [ACK] Seq=5722 Ack=457 Win=1709 Len=1380 [TCP segment of a reassembled PDU]"
"16","17.471018","157.240.195.56","10.9.2.177","TLSv1.2","187","7102","Application Data"
"17","17.471018","157.240.195.56","10.9.2.177","TCP","1434","7235","443  >  56568 [ACK] Seq=7235 Ack=457 Win=1709 Len=1380 [TCP segment of a reassembled PDU]"
"18","17.471018","157.240.195.56","10.9.2.177","TLSv1.2","1093","8615","Application Data, Application Data"
